fips,state,county,metro,region,metroname,regionname
01001,AL,Autauga,3,6,Md/Sm metro,East South Central
01003,AL,Baldwin,3,6,Md/Sm metro,East South Central
01005,AL,Barbour,4,6,"Nonmetro, adjacent",East South Central
01007,AL,Bibb,2,10,Lg fringe metro,Appalachia
01009,AL,Blount,2,10,Lg fringe metro,Appalachia
01011,AL,Bullock,4,6,"Nonmetro, adjacent",East South Central
01013,AL,Butler,4,6,"Nonmetro, adjacent",East South Central
01015,AL,Calhoun,3,10,Md/Sm metro,Appalachia
01017,AL,Chambers,4,10,"Nonmetro, adjacent",Appalachia
01019,AL,Cherokee,4,10,"Nonmetro, adjacent",Appalachia
01021,AL,Chilton,2,10,Lg fringe metro,Appalachia
01023,AL,Choctaw,5,6,"Nonmetro, nonadjacent",East South Central
01025,AL,Clarke,5,6,"Nonmetro, nonadjacent",East South Central
01027,AL,Clay,5,10,"Nonmetro, nonadjacent",Appalachia
01029,AL,Cleburne,4,10,"Nonmetro, adjacent",Appalachia
01031,AL,Coffee,4,6,"Nonmetro, adjacent",East South Central
01033,AL,Colbert,3,10,Md/Sm metro,Appalachia
01035,AL,Conecuh,5,6,"Nonmetro, nonadjacent",East South Central
01037,AL,Coosa,4,10,"Nonmetro, adjacent",Appalachia
01039,AL,Covington,4,6,"Nonmetro, adjacent",East South Central
01041,AL,Crenshaw,4,6,"Nonmetro, adjacent",East South Central
01043,AL,Cullman,4,10,"Nonmetro, adjacent",Appalachia
01045,AL,Dale,4,6,"Nonmetro, adjacent",East South Central
01047,AL,Dallas,4,6,"Nonmetro, adjacent",East South Central
01049,AL,DeKalb,4,10,"Nonmetro, adjacent",Appalachia
01051,AL,Elmore,3,10,Md/Sm metro,Appalachia
01053,AL,Escambia,4,6,"Nonmetro, adjacent",East South Central
01055,AL,Etowah,3,10,Md/Sm metro,Appalachia
01057,AL,Fayette,4,10,"Nonmetro, adjacent",Appalachia
01059,AL,Franklin,4,10,"Nonmetro, adjacent",Appalachia
01061,AL,Geneva,3,6,Md/Sm metro,East South Central
01063,AL,Greene,4,6,"Nonmetro, adjacent",East South Central
01065,AL,Hale,3,10,Md/Sm metro,Appalachia
01067,AL,Henry,3,6,Md/Sm metro,East South Central
01069,AL,Houston,3,6,Md/Sm metro,East South Central
01071,AL,Jackson,4,10,"Nonmetro, adjacent",Appalachia
01073,AL,Jefferson,1,10,Lg central metro,Appalachia
01075,AL,Lamar,4,10,"Nonmetro, adjacent",Appalachia
01077,AL,Lauderdale,3,10,Md/Sm metro,Appalachia
01079,AL,Lawrence,3,10,Md/Sm metro,Appalachia
01081,AL,Lee,3,6,Md/Sm metro,East South Central
01083,AL,Limestone,3,10,Md/Sm metro,Appalachia
01085,AL,Lowndes,3,6,Md/Sm metro,East South Central
01087,AL,Macon,4,10,"Nonmetro, adjacent",Appalachia
01089,AL,Madison,3,10,Md/Sm metro,Appalachia
01091,AL,Marengo,5,6,"Nonmetro, nonadjacent",East South Central
01093,AL,Marion,5,10,"Nonmetro, nonadjacent",Appalachia
01095,AL,Marshall,4,10,"Nonmetro, adjacent",Appalachia
01097,AL,Mobile,3,6,Md/Sm metro,East South Central
01099,AL,Monroe,5,6,"Nonmetro, nonadjacent",East South Central
01101,AL,Montgomery,3,6,Md/Sm metro,East South Central
01103,AL,Morgan,3,10,Md/Sm metro,Appalachia
01105,AL,Perry,4,6,"Nonmetro, adjacent",East South Central
01107,AL,Pickens,3,10,Md/Sm metro,Appalachia
01109,AL,Pike,4,6,"Nonmetro, adjacent",East South Central
01111,AL,Randolph,4,10,"Nonmetro, adjacent",Appalachia
01113,AL,Russell,3,6,Md/Sm metro,East South Central
01115,AL,St. Clair,2,10,Lg fringe metro,Appalachia
01117,AL,Shelby,2,10,Lg fringe metro,Appalachia
01119,AL,Sumter,4,6,"Nonmetro, adjacent",East South Central
01121,AL,Talladega,4,10,"Nonmetro, adjacent",Appalachia
01123,AL,Tallapoosa,4,10,"Nonmetro, adjacent",Appalachia
01125,AL,Tuscaloosa,3,10,Md/Sm metro,Appalachia
01127,AL,Walker,2,10,Lg fringe metro,Appalachia
01129,AL,Washington,4,6,"Nonmetro, adjacent",East South Central
01131,AL,Wilcox,5,6,"Nonmetro, nonadjacent",East South Central
01133,AL,Winston,4,10,"Nonmetro, adjacent",Appalachia
02010,AK,Aleutian Islands Census Area/Aleutian East Borough/Aleutian West Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02020,AK,Anchorage Municipality,3,9,Md/Sm metro,Pacific
02050,AK,Bethel Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02060,AK,Bristol Bay Borough,5,9,"Nonmetro, nonadjacent",Pacific
02070,AK,Dillingham Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02090,AK,Fairbanks North Star Borough,3,9,Md/Sm metro,Pacific
02100,AK,Haines Borough,5,9,"Nonmetro, nonadjacent",Pacific
02110,AK,Juneau City and Borough,5,9,"Nonmetro, nonadjacent",Pacific
02122,AK,Kenai Peninsula Borough,5,9,"Nonmetro, nonadjacent",Pacific
02140,AK,Kobuk Census Area/Northwest Arctic Borough,5,9,"Nonmetro, nonadjacent",Pacific
02150,AK,Kodiak Island Borough,5,9,"Nonmetro, nonadjacent",Pacific
02158,AK,Wade Hampton Census Area/Kusilvak Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02170,AK,Matanuska-Susitna Borough,3,9,Md/Sm metro,Pacific
02180,AK,Nome Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02185,AK,North Slope Borough,5,9,"Nonmetro, nonadjacent",Pacific
02195,AK,Petersburg Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02220,AK,Sitka City and Borough,5,9,"Nonmetro, nonadjacent",Pacific
02232,AK,Skagway-Hoonah-Angoon Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02240,AK,Southeast Fairbanks Census Area,5,9,"Nonmetro, nonadjacent",Pacific
02261,AK,Valdez-Cordova Census Area,5,9,"Nonmetro, nonadjacent",Pacific
04001,AZ,Apache,4,8,"Nonmetro, adjacent",Mountain
04003,AZ,Cochise,3,8,Md/Sm metro,Mountain
04005,AZ,Coconino,3,8,Md/Sm metro,Mountain
04007,AZ,Gila,4,8,"Nonmetro, adjacent",Mountain
04009,AZ,Graham,5,8,"Nonmetro, nonadjacent",Mountain
04011,AZ,Greenlee,5,8,"Nonmetro, nonadjacent",Mountain
04013,AZ,Maricopa,1,8,Lg central metro,Mountain
04015,AZ,Mohave,3,8,Md/Sm metro,Mountain
04017,AZ,Navajo,4,8,"Nonmetro, adjacent",Mountain
04019,AZ,Pima,3,8,Md/Sm metro,Mountain
04021,AZ,Pinal,2,8,Lg fringe metro,Mountain
04023,AZ,Santa Cruz,4,8,"Nonmetro, adjacent",Mountain
04025,AZ,Yavapai,3,8,Md/Sm metro,Mountain
