"fips","year","new_total_mds"
"01001",2015,37
"01003",2015,387
"01005",2015,13
"01007",2015,18
"01009",2015,16
"01011",2015,4
"01013",2015,10
"01015",2015,197
"01017",2015,29
"01019",2015,13
"01021",2015,17
"01023",2015,5
"01025",2015,15
"01027",2015,5
"01029",2015,4
"01031",2015,53
"01033",2015,76
"01035",2015,6
"01037",2015,0
"01039",2015,36
"01041",2015,3
"01043",2015,96
"01045",2015,29
"01047",2015,73
"01049",2015,46
"01051",2015,38
"01053",2015,28
"01055",2015,208
"01057",2015,32
"01059",2015,23
"01061",2015,11
"01063",2015,7
"01065",2015,6
"01067",2015,4
"01069",2015,346
"01071",2015,49
"01073",2015,3941
"01075",2015,2
"01077",2015,167
"01079",2015,8
"01081",2015,205
"01083",2015,61
"01085",2015,1
"01087",2015,11
"01089",2015,974
"01091",2015,11
"01093",2015,8
"01095",2015,106
"01097",2015,1188
"01099",2015,13
"01101",2015,615
"01103",2015,159
"01105",2015,5
"01107",2015,8
"01109",2015,26
"01111",2015,7
"01113",2015,27
"01115",2015,23
"01117",2015,538
"01119",2015,7
"01121",2015,49
"01123",2015,52
"01125",2015,476
"01127",2015,80
"01129",2015,3
"01131",2015,5
"01133",2015,12
"02001",2015,NA
"02013",2015,0
"02016",2015,0
"02020",2015,1000
"02050",2015,19
"02060",2015,0
"02068",2015,0
"02070",2015,11
"02090",2015,184
"02100",2015,8
"02105",2015,0
"02110",2015,75
"02122",2015,82
"02130",2015,20
"02150",2015,25
"02158",2015,0
"02164",2015,1
"02170",2015,93
"02180",2015,10
"02185",2015,3
"02188",2015,6
"02195",2015,4
"02198",2015,3
"02201",2015,NA
"02220",2015,31
"02230",2015,0
"02232",2015,NA
"02240",2015,4
"02261",2015,8
"02275",2015,2
"02280",2015,NA
"02282",2015,0
"02290",2015,1
"04001",2015,50
"04003",2015,113
"04005",2015,343
"04007",2015,46
"04009",2015,24
"04011",2015,6
"04012",2015,13
"04013",2015,10026
"04015",2015,255
"04017",2015,120
"04019",2015,3549
"04021",2015,146
"04023",2015,32
"04025",2015,357
"04027",2015,253
"05001",2015,12
"05003",2015,14
"05005",2015,106
"05007",2015,332
"05009",2015,54
"05011",2015,9
"05013",2015,1
"05015",2015,27
"05017",2015,13
"05019",2015,19
"05021",2015,5
"05023",2015,23
"05025",2015,1
"05027",2015,28
"05029",2015,16
"05031",2015,326
"05033",2015,37
"05035",2015,36
"05037",2015,11
"05039",2015,4
"05041",2015,6
"05043",2015,9
"05045",2015,155
"05047",2015,7
"05049",2015,6
"05051",2015,256
"05053",2015,5
"05055",2015,41
"05057",2015,9
"05059",2015,8
"05061",2015,7
"05063",2015,73
"05065",2015,2
"05067",2015,14
"05069",2015,129
"05071",2015,18
"05073",2015,2
"05075",2015,7
"05077",2015,3
"05079",2015,1
"05081",2015,4
"05083",2015,10
"05085",2015,25
"05087",2015,4
"05089",2015,2
"05091",2015,52
"05093",2015,27
"05095",2015,6
"05097",2015,1
"05099",2015,2
"05101",2015,2
