"fips","year","percent_transfers","income_per_capita","total_employees"
"00000",2000,0.0852582455651562,31589,165522200
"00000",2001,0.0852582455651562,31589,165522200
"00000",2002,0.0915587434793089,31832,165095100
"00000",2003,0.0932081244177109,32681,165921500
"00000",2004,0.0933008707638546,34251,168839700
"00000",2005,0.0947695032615798,35849,172338400
"00000",2006,0.0940610796714803,38114,175868600
"00000",2007,0.0960166982664184,39844,179543700
"00000",2008,0.108496769754168,40904,179213900
"00000",2009,0.122992717719331,39284,173636700
"00000",2010,0.130357490973326,40545,172901700
"00000",2011,0.123569953703502,42727,176091700
"00000",2012,0.114359565672692,44582,178979700
"00000",2013,0.11465222786098,44826,182325100
"00000",2014,0.113838220826876,47025,186235800
"00000",2015,0.115278079924723,48940,190317800
"00000",2016,0.116753300987923,49831,193368900
"01000",2000,0.104840748206904,25139,2376053
"01000",2001,0.104840748206904,25139,2376053
"01000",2002,0.109915274883962,25706,2364828
"01000",2003,0.112840575037882,26693,2371430
"01000",2004,0.111934162129112,28399,2425649
"01000",2005,0.114383898570206,29808,2486833
"01000",2006,0.116229504129873,31306,2545556
"01000",2007,0.12010947066153,32573,2604078
"01000",2008,0.133866765208999,33377,2582591
"01000",2009,0.144680202822113,32631,2479507
"01000",2010,0.155934410660115,33844,2460298
"01000",2011,0.152425358992326,34942,2497933
"01000",2012,0.143849681363838,35818,2503678
"01000",2013,0.143587390111469,36067,2523338
"01000",2014,0.144464388554696,37235,2552891
"01000",2015,0.144671904973799,38612,2588248
"01000",2016,0.14531194716037,39294,2620993
"01001",2000,0.0813857143115023,24682,16211
"01001",2001,0.0813857143115023,24682,16211
"01001",2002,0.0868987685999972,24991,15944
"01001",2003,0.0900919040041568,26319,16484
"01001",2004,0.0935393496773767,27535,16884
"01001",2005,0.0984180501554938,28766,17404
"01001",2006,0.103204703907462,29758,17189
"01001",2007,0.105378662106857,31459,17998
"01001",2008,0.117544460620593,32876,17802
"01001",2009,0.122263846914806,32603,17483
"01001",2010,0.132975996169357,33415,16988
"01001",2011,0.137081093748021,34325,17298
"01001",2012,0.129358333948165,35040,16421
"01001",2013,0.131418004360425,35464,16475
"01001",2014,0.133169734883046,36677,16867
"01001",2015,0.135088239908216,38591,17283
"01001",2016,0.133308485810584,39509,17445
"01003",2000,0.0793138598627872,27119,70661
"01003",2001,0.0793138598627872,27119,70661
"01003",2002,0.0851413649937117,27402,71892
"01003",2003,0.0898903054777611,28050,73844
"01003",2004,0.089669920229562,30338,77691
"01003",2005,0.0882445492425096,32292,82612
"01003",2006,0.0874672530900087,34784,87768
"01003",2007,0.0899426837101003,36051,92728
"01003",2008,0.105108638365114,35751,92684
"01003",2009,0.115411053584702,34698,89324
"01003",2010,0.131706585758275,36282,89246
"01003",2011,0.125987816212509,37804,92000
"01003",2012,0.117859200988218,38166,93226
"01003",2013,0.118479280149027,38212,96471
"01003",2014,0.118985797755343,39561,99837
"01003",2015,0.117704083770431,41412,103943
"01003",2016,0.117319516302312,43004,107855
