"year","fips","labor_force","employed","unemployed","percent_unemployment"
NA,"NANA",NA,NA,NA,NA
"1990","01001",16908,15813,1095,6.5
"1990","01003",46824,44379,2445,5.2
"1990","01005",11490,10592,898,7.8
"1990","01007",7434,6758,676,9.1
"1990","01009",19168,17955,1213,6.3
"1990","01011",4407,3859,548,12.4
"1990","01013",8838,7705,1133,12.8
"1990","01015",51519,47840,3679,7.1
"1990","01017",17705,16432,1273,7.2
"1990","01019",9644,8693,951,9.9
"1990","01021",15187,13833,1354,8.9
"1990","01023",6711,5867,844,12.6
"1990","01025",11711,10756,955,8.2
"1990","01027",6338,5889,449,7.1
"1990","01029",6279,5868,411,6.5
"1990","01031",18836,17647,1189,6.3
"1990","01033",24501,22526,1975,8.1
"1990","01035",5763,5202,561,9.7
"1990","01037",4983,4663,320,6.4
"1990","01039",17161,15834,1327,7.7
"1990","01041",6082,5629,453,7.4
"1990","01043",32848,30527,2321,7.1
"1990","01045",20535,19384,1151,5.6
"1990","01047",19459,17096,2363,12.1
"1990","01049",27386,25349,2037,7.4
"1990","01051",22533,21150,1383,6.1
"1990","01053",15003,13706,1297,8.6
"1990","01055",46628,41522,5106,11
"1990","01057",8493,7658,835,9.8
"1990","01059",13641,12098,1543,11.3
"1990","01061",11109,10584,525,4.7
"1990","01063",3777,3338,439,11.6
"1990","01065",6204,5725,479,7.7
"1990","01067",6867,6539,328,4.8
"1990","01069",40846,39065,1781,4.4
"1990","01071",23677,21518,2159,9.1
"1990","01073",311022,295321,15701,5
"1990","01075",7689,7077,612,8
"1990","01077",38029,35389,2640,6.9
"1990","01079",15140,13875,1265,8.4
"1990","01081",43457,40802,2655,6.1
"1990","01083",26653,24914,1739,6.5
"1990","01085",4826,4068,758,15.7
"1990","01087",9220,8396,824,8.9
"1990","01089",128780,122589,6191,4.8
"1990","01091",9836,9178,658,6.7
"1990","01093",14401,12374,2027,14.1
"1990","01095",35256,32102,3154,8.9
"1990","01097",171019,159194,11825,6.9
"1990","01099",10320,9236,1084,10.5
"1990","01101",100926,94637,6289,6.2
"1990","01103",50464,47234,3230,6.4
"1990","01105",4860,4229,631,13
"1990","01107",8606,7818,788,9.2
"1990","01109",12309,11564,745,6.1
"1990","01111",9278,8561,717,7.7
"1990","01113",21686,19926,1760,8.1
"1990","01115",23395,22102,1293,5.5
"1990","01117",53271,51538,1733,3.3
"1990","01119",5999,5416,583,9.7
"1990","01121",33647,30550,3097,9.2
"1990","01123",19241,18006,1235,6.4
"1990","01125",70025,66816,3209,4.6
"1990","01127",30210,27387,2823,9.3
"1990","01129",6598,5893,705,10.7
"1990","01131",4239,3714,525,12.4
"1990","01133",10482,9241,1241,11.8
"1990","02013",1303,1298,5,0.4
"1990","02016",3542,3525,17,0.5
"1990","02020",122065,115696,6369,5.2
"1990","02050",4041,3748,293,7.3
"1990","02060",473,453,20,4.2
"1990","02068",992,860,132,13.3
"1990","02070",1212,1131,81,6.7
"1990","02090",35580,32503,3077,8.6
"1990","02100",1084,1006,78,7.2
"1990","02110",15089,14298,791,5.2
"1990","02122",18799,16546,2253,12
