"fips","less_12","college","total_persons","year"
"01NA",1586505,1337573,6225559,1990
"01001",43131,30710,179248,1990
"01003",115372,90162,487828,1990
"01005",23822,12491,73925,1990
"01007",27007,3305,61192,1990
"01009",80743,14852,205505,1990
"01011",5748,2609,16982,1990
"01013",26425,6840,66404,1990
"01015",190319,94356,607498,1990
"01017",50426,13644,125210,1990
"01019",41179,5970,88021,1990
"01021",57448,10747,137375,1990
"01023",15818,4810,43137,1990
"01025",22357,11430,76960,1990
"01027",24198,4353,54676,1990
"01029",27710,3873,56412,1990
"01031",48742,30117,164811,1990
"01033",98002,38211,297491,1990
"01035",17542,3489,42024,1990
"01037",15178,2833,35969,1990
"01039",66397,15800,162257,1990
"01041",21510,4952,49851,1990
"01043",130065,25566,317957,1990
"01045",51948,31447,212662,1990
"01047",27492,18996,105381,1990
"01049",120655,18724,258801,1990
"01051",59357,30833,210664,1990
"01053",42000,10500,121767,1990
"01055",211068,69013,618665,1990
"01057",32927,7241,76200,1990
"01059",58974,9129,130495,1990
"01061",44152,7532,103920,1990
"01063",3135,1651,11262,1990
"01065",10415,4317,31757,1990
"01067",16592,5727,51206,1990
"01069",112378,78111,437476,1990
"01071",91277,17586,217496,1990
"01073",685460,794336,3256883,1990
"01075",30986,4481,67486,1990
"01077",140544,84375,467426,1990
"01079",59173,8127,131484,1990
"01081",57781,102166,311398,1990
"01083",76024,34098,223465,1990
"01085",3764,2677,16638,1990
"01087",6313,2667,18238,1990
"01089",229200,451074,1369067,1990
"01091",14040,9126,58312,1990
"01093",70097,9809,141498,1990
"01095",130904,40159,343847,1990
"01097",439114,341389,1804149,1990
"01099",22627,9982,69143,1990
"01101",146544,280412,942652,1990
"01103",173581,106259,616679,1990
"01105",6933,4206,22002,1990
"01107",21129,5314,61612,1990
"01109",26779,14786,79533,1990
"01111",34259,6776,75339,1990
"01113",71773,21590,201618,1990
"01115",93000,21947,246101,1990
"01117",106962,187306,582697,1990
"01119",5077,5052,22733,1990
"01121",92148,29669,257645,1990
"01123",54929,20718,148005,1990
"01125",175887,168110,696790,1990
"01127",151341,26017,347090,1990
"01129",19412,3713,49999,1990
"01131",6112,4255,22312,1990
"01133",53549,5832,105298,1990
"02NA",102589,337222,1208963,1990
"02013",520,981,4818,1990
"02016",1622,5156,30041,1990
"02020",102735,399100,1350962,1990
"02050",567,6399,13462,1990
"02060",171,1341,5445,1990
"02070",438,2385,6342,1990
"02090",23518,76510,279794,1990
"02100",1790,1853,9370,1990
"02110",8136,38328,113208,1990
"02122",21359,35059,182203,1990
"02130",6663,12541,54905,1990
"02150",3407,11366,43127,1990
"02164",428,953,2223,1990
"02170",19008,30021,163265,1990
"02180",904,4378,10751,1990
"02185",440,3019,8026,1990
"02188",261,2532,5188,1990
"02201",4039,3147,20849,1990
"02220",2816,8352,31784,1990
"02231",1983,3039,14640,1990
"02240",2199,4690,21194,1990
"02261",4842,8680,42393,1990
"02270",27,1687,2380,1990
"02280",4685,6576,28758,1990
"02290",1918,5001,20124,1990
"15NA",95365,309701,949588,1990
"15001",36643,62840,256714,1990
"15003",184375,653684,1971430,1990
"15005",147,42,476,1990
"15007",13931,21010,95803,1990
"15009",27616,53192,219409,1990
"41NA",1189938,1669646,7251019,1990
"41001",20010,10430,79302,1990
"41003",30820,116758,289867,1990
"41005",246090,445334,1809083,1990
"41007",29384,27967,164319,1990
"41009",38720,19414,177616,1990
"41011",80481,40789,331940,1990
"41013",18591,6569,66010,1990
"41015",23711,14233,110544,1990
"41017",61003,69028,364639,1990
"41019",124054,58699,494706,1990
"41021",1315,1669,8994,1990
"41023",8788,4824,38972,1990
"41025",7224,4949,34140,1990
"41027",19710,13655,74381,1990
"41029",192707,176986,1001465,1990
"41031",11377,6919,49559,1990
"41033",76767,38240,313521,1990
"41035",65462,37562,291708,1990
"41037",8126,4925,33744,1990
"41039",319697,455692,1970550,1990
"41041",39238,34237,203758,1990
"41043",102611,48059,437009,1990
"41045",25844,14933,102493,1990
"41047",286729,270078,1466638,1990
"41049",7363,4256,32992,1990
"41051",660642,1014550,4153634,1990
"41053",52087,62304,280069,1990
"41055",1639,1842,9835,1990
"41057",25945,14445,110184,1990
"41059",57868,37094,263500,1990
"41061",21901,18741,109848,1990
"41063",6506,5561,35265,1990
"41065",22770,15529,105945,1990
"41067",223306,642897,2130508,1990
"41069",2318,821,7585,1990
"41071",67709,58045,334839,1990
"04NA",1469182,2057604,8860242,1990
"04001",8087,13196,57085,1990
"04003",86941,70960,401123,1990
"04005",27807,88492,274211,1990
"04007",48256,18292,168249,1990
"04009",27217,12036,92292,1990
"04011",8451,3515,32004,1990
"04012",20569,5525,58584,1990
"04013",2181941,3286252,13942327,1990
"04015",134431,52619,503975,1990
"04017",29713,26810,160987,1990
"04019",610019,995160,3883141,1990
"04021",142354,44451,480205,1990
"04023",38896,12078,99251,1990
"04025",119614,104286,581348,1990
"04027",156037,78383,531802,1990
"49NA",451579,803119,3335098,1990
"49001",3406,1881,20869,1990
"49003",21211,26293,142660,1990
"49005",31636,96135,315796,1990
"49007",21474,10986,85507,1990
