"fips","in_mig","out_mig","net_mig","year"
"01001",9911,7627,2284,2000
"01003",31241,16131,15110,2000
"01005",4602,4440,162,2000
"01007",3766,2639,1127,2000
"01009",9474,6236,3238,2000
"01011",2278,1819,459,2000
"01013",2075,2519,-444,2000
"01015",15438,20623,-5185,2000
"01017",3999,5070,-1071,2000
"01019",4268,2955,1313,2000
"01021",6195,3663,2532,2000
"01023",1373,1911,-538,2000
"01025",2494,4022,-1528,2000
"01027",1832,1675,157,2000
"01029",1967,1929,38,2000
"01031",9060,8810,250,2000
"01033",7135,7551,-416,2000
"01035",1483,2070,-587,2000
"01037",2357,2125,232,2000
"01039",4715,4629,86,2000
"01041",1925,1550,375,2000
"01043",10938,8374,2564,2000
"01045",11840,13694,-1854,2000
"01047",3557,6531,-2974,2000
"01049",9183,7762,1421,2000
"01051",17734,8932,8802,2000
"01053",5716,5623,93,2000
"01055",12249,12754,-505,2000
"01057",2295,2652,-357,2000
"01059",4126,4470,-344,2000
"01061",3711,4092,-381,2000
"01063",1016,1444,-428,2000
"01065",2213,1794,419,2000
"01067",2678,3065,-387,2000
"01069",14225,14978,-753,2000
"01071",7290,6582,708,2000
"01073",77674,99591,-21917,2000
"01075",1673,2241,-568,2000
"01077",12022,11403,619,2000
"01079",4372,3922,450,2000
"01081",36380,27055,9325,2000
"01083",10934,8291,2643,2000
"01085",1520,1688,-168,2000
"01087",4153,5093,-940,2000
"01089",49740,44143,5597,2000
"01091",2421,3204,-783,2000
"01093",4348,4546,-198,2000
"01095",12455,11823,632,2000
"01097",39697,52388,-12691,2000
"01099",2283,4315,-2032,2000
"01101",38634,42008,-3374,2000
"01103",16103,16386,-283,2000
"01105",1532,1693,-161,2000
"01107",2147,3377,-1230,2000
"01109",4798,6027,-1229,2000
"01111",2756,2581,175,2000
"01113",9406,9581,-175,2000
"01115",13484,8703,4781,2000
"01117",42761,22806,19955,2000
"01119",1873,2772,-899,2000
"01121",12917,10417,2500,2000
"01123",5169,6076,-907,2000
"01125",30262,26623,3639,2000
"01127",7512,7323,189,2000
