"fips","year","chr_obesity_prev","chr_mammography","chr_diabetes_monitoring"
"00000",2004,0.24,NA,NA
"00000",2005,0.24,NA,NA
"00000",2006,0.26,0.64,0.82
"00000",2007,0.26,0.64,0.82
"00000",2008,0.27,0.66,0.83
"00000",2009,0.28,0.66,0.84
"00000",2010,0.28,0.65,0.84
"00000",2011,0.28,0.63,0.84
"00000",2012,0.28,0.63,0.85
"00000",2013,0.28,0.63,0.85
"00000",2014,NA,0.63,0.85
"01000",2004,0.29,NA,NA
"01000",2005,0.29,NA,NA
"01000",2006,0.31,0.63,0.8
"01000",2007,0.32,0.63,0.8
"01000",2008,0.32,0.66,0.82
"01000",2009,0.33,0.65,0.83
"01000",2010,0.33,0.65,0.84
"01000",2011,0.34,0.63,0.84
"01000",2012,0.34,0.63,0.84
"01000",2013,0.34,0.63,0.85
"01000",2014,NA,0.63,0.85
"01001",2004,0.3,NA,NA
"01001",2005,0.29,NA,NA
"01001",2006,0.28,NA,0.82
"01001",2007,0.3,NA,0.82
"01001",2008,0.32,0.66,0.84
"01001",2009,0.34,0.64,0.85
"01001",2010,0.31,0.69,0.85
"01001",2011,0.31,0.67,0.87
"01001",2012,0.31,0.69,0.85
"01001",2013,0.34,0.62,0.84
"01001",2014,NA,0.63,0.84
"01003",2004,0.26,NA,NA
"01003",2005,0.25,NA,NA
"01003",2006,0.24,0.73,0.8
"01003",2007,0.25,0.73,0.8
"01003",2008,0.26,0.71,0.82
"01003",2009,0.26,0.71,0.82
"01003",2010,0.27,0.7,0.81
"01003",2011,0.25,0.67,0.8
"01003",2012,0.27,0.66,0.81
"01003",2013,0.27,0.66,0.84
"01003",2014,NA,0.66,0.83
"01005",2004,0.32,NA,NA
"01005",2005,0.33,NA,NA
"01005",2006,0.37,NA,NA
"01005",2007,0.36,NA,NA
"01005",2008,0.38,0.63,0.89
"01005",2009,0.37,0.65,0.85
"01005",2010,0.37,0.65,0.86
"01005",2011,0.38,0.65,0.88
"01005",2012,0.41,0.62,0.86
"01005",2013,0.44,0.63,0.9
"01005",2014,NA,0.63,0.89
"01007",2004,0.29,NA,NA
"01007",2005,0.31,NA,NA
"01007",2006,0.31,NA,NA
"01007",2007,0.32,NA,NA
"01007",2008,0.32,0.69,0.8
"01007",2009,0.34,0.58,0.82
"01007",2010,0.34,0.57,0.85
"01007",2011,0.37,0.62,0.83
"01007",2012,0.4,0.62,0.83
"01007",2013,0.4,0.59,0.84
"01007",2014,NA,0.61,0.82
"01009",2004,0.26,NA,NA
"01009",2005,0.28,NA,NA
"01009",2006,0.29,NA,NA
"01009",2007,0.32,NA,NA
"01009",2008,0.32,0.66,0.81
"01009",2009,0.32,0.66,0.83
"01009",2010,0.3,0.66,0.84
"01009",2011,0.31,0.63,0.84
"01009",2012,0.32,0.6,0.86
"01009",2013,0.35,0.61,0.86
"01009",2014,NA,0.6,0.88
"01011",2004,0.35,NA,NA
"01011",2005,0.36,NA,NA
"01011",2006,0.37,NA,NA
"01011",2007,0.37,NA,NA
"01011",2008,0.38,0.68,0.84
"01011",2009,0.39,0.64,0.85
"01011",2010,0.42,0.57,0.76
"01011",2011,0.43,0.49,0.81
"01011",2012,0.45,0.52,0.77
"01011",2013,0.43,0.6,0.88
"01011",2014,NA,0.6,0.86
"01013",2004,0.3,NA,NA
"01013",2005,0.3,NA,NA
"01013",2006,0.31,NA,NA
"01013",2007,0.36,NA,NA
"01013",2008,0.37,0.55,0.77
"01013",2009,0.41,0.53,0.8
"01013",2010,0.38,0.6,0.83
"01013",2011,0.38,0.58,0.78
"01013",2012,0.36,0.6,0.86
"01013",2013,0.36,0.62,0.81
"01013",2014,NA,0.62,0.81
"01015",2004,0.29,NA,NA
"01015",2005,0.3,NA,NA
"01015",2006,0.33,0.59,0.79
"01015",2007,0.33,0.59,0.79
"01015",2008,0.34,0.62,0.79
"01015",2009,0.34,0.61,0.8
"01015",2010,0.33,0.6,0.8
"01015",2011,0.32,0.55,0.8
"01015",2012,0.32,0.57,0.81
"01015",2013,0.32,0.56,0.81
"01015",2014,NA,0.57,0.81
"01017",2004,0.3,NA,NA
"01017",2005,0.3,NA,NA
"01017",2006,0.33,NA,0.82
"01017",2007,0.36,NA,0.82
"01017",2008,0.36,0.64,0.81
"01017",2009,0.35,0.67,0.84
"01017",2010,0.35,0.65,0.86
"01017",2011,0.4,0.66,0.84
"01017",2012,0.4,0.62,0.86
"01017",2013,0.4,0.6,0.84
"01017",2014,NA,0.57,0.82
"01019",2004,0.27,NA,NA
"01019",2005,0.28,NA,NA
"01019",2006,0.31,NA,NA
"01019",2007,0.31,NA,NA
"01019",2008,0.32,0.59,0.87
"01019",2009,0.31,0.67,0.9
"01019",2010,0.31,0.64,0.89
"01019",2011,0.3,0.6,0.88
"01019",2012,0.33,0.61,0.92
"01019",2013,0.34,0.64,0.89
"01019",2014,NA,0.63,0.89
"01021",2004,0.28,NA,NA
"01021",2005,0.29,NA,NA
"01021",2006,0.33,NA,0.82
"01021",2007,0.34,NA,0.82
"01021",2008,0.35,0.62,0.86
"01021",2009,0.35,0.61,0.85
"01021",2010,0.38,0.62,0.84
"01021",2011,0.37,0.61,0.87
