"fips","manufacturing","total_persons","year"
"01NA",1117422,5882139,1990
"01001",30576,160597,1990
"01003",69972,364927,1990
"01005",28535,79174,1990
"01007",18369,49740,1990
"01009",38388,145836,1990
"01011",7996,27699,1990
"01013",17022,55913,1990
"01015",108465,476863,1990
"01017",60681,124980,1990
"01019",25519,61149,1990
"01021",23595,100432,1990
"01023",15403,40988,1990
"01025",26611,76945,1990
"01027",18436,42330,1990
"01029",16991,41769,1990
"01031",30125,129120,1990
"01033",56459,227163,1990
"01035",13522,37490,1990
"01037",16117,33022,1990
"01039",35940,116798,1990
"01041",11858,40245,1990
"01043",57480,218341,1990
"01045",28458,167759,1990
"01047",32625,125715,1990
"01049",80791,184636,1990
"01051",32350,173354,1990
"01053",26578,100136,1990
"01055",121250,443347,1990
"01057",21957,54534,1990
"01059",32526,86166,1990
"01061",23485,76865,1990
"01063",5003,23877,1990
"01065",11634,39964,1990
"01067",17275,48436,1990
"01069",78337,412713,1990
"01071",63362,159760,1990
"01073",415020,3317649,1990
"01075",24754,51628,1990
"01077",88807,348397,1990
"01079",41457,111857,1990
"01081",83463,384030,1990
"01083",57108,179425,1990
"01085",7400,30654,1990
"01087",8964,64414,1990
"01089",284873,1329012,1990
"01091",23005,66081,1990
"01093",38108,92210,1990
"01095",72303,235198,1990
"01097",274400,1721777,1990
"01099",28777,69911,1990
"01101",111908,1075614,1990
"01103",149406,489745,1990
"01105",9263,31739,1990
"01107",18853,56373,1990
"01109",20182,86569,1990
"01111",28869,63095,1990
"01113",60368,206882,1990
"01115",46198,183536,1990
"01117",72181,514939,1990
"01119",11535,39941,1990
"01121",72659,228298,1990
"01123",63491,134103,1990
"01125",98236,703482,1990
"01127",39289,222716,1990
"01129",14917,42468,1990
"01131",7886,26935,1990
"01133",27267,67431,1990
"02NA",62911,1198792,1990
"02013",6136,12675,1990
"02016",7430,33826,1990
"02020",47712,1327928,1990
"02050",536,36937,1990
"02060",171,4590,1990
"02070",297,11159,1990
"02090",8043,238943,1990
"02100",1116,8039,1990
"02110",2728,115856,1990
"02122",12833,138512,1990
"02130",8867,52957,1990
"02150",6783,48000,1990
"02164",64,4034,1990
"02170",5180,116266,1990
"02180",321,22618,1990
"02185",301,22107,1990
"02188",127,15093,1990
"02201",8296,22197,1990
"02220",5144,34456,1990
"02231",3853,17029,1990
"02240",503,15357,1990
"02261",2036,37897,1990
"02270",72,11822,1990
"02280",4148,26952,1990
"02290",244,20955,1990
"15NA",133258,2194329,1990
"15001",21434,427992,1990
"15003",289764,4631072,1990
"15005",0,287,1990
"15007",10463,200637,1990
"15009",26976,423228,1990
"41NA",954640,5677941,1990
"41001",5990,47177,1990
"41003",40673,255244,1990
"41005",243325,1443959,1990
"41007",20221,112941,1990
"41009",32759,124737,1990
"41011",33582,196140,1990
"41013",13931,43962,1990
"41015",7603,57950,1990
"41017",48785,267221,1990
"41019",80801,309181,1990
"41021",196,5944,1990
"41023",3951,25076,1990
"41025",4575,23277,1990
"41027",7962,56461,1990
"41029",99288,671563,1990
"41031",9856,42382,1990
"41033",34527,171322,1990
"41035",38874,198434,1990
"41037",3131,23473,1990
"41039",252128,1491570,1990
"41041",11827,124842,1990
"41043",82604,299876,1990
"41045",10615,81186,1990
"41047",145240,1085604,1990
"41049",4553,24352,1990
"41051",532396,3475252,1990
"41053",31564,201890,1990
"41055",355,5821,1990
"41057",9079,61337,1990
"41059",33875,197138,1990
"41061",12293,76568,1990
"41063",3963,21809,1990
"41065",10082,68196,1990
"41067",399847,1882507,1990
"41069",274,3727,1990
"41071",57043,250667,1990
"04NA",1018038,7599804,1990
"04001",5841,115522,1990
"04003",17428,263233,1990
"04005",22329,332184,1990
"04007",5948,105321,1990
"04009",2617,59389,1990
"04011",1438,21692,1990
"04012",2640,42707,1990
"04013",1790191,11862574,1990
"04015",25641,295652,1990
"04017",15928,179428,1990
"04019",322632,3233904,1990
"04021",51642,331894,1990
"04023",9328,87145,1990
"04025",25681,312998,1990
"04027",26004,398426,1990
"49NA",449038,2954494,1990
"49001",818,13053,1990
"49003",41554,114059,1990
"49005",78801,307590,1990
"49007",3561,58393,1990
"49009",188,2123,1990
"49011",131574,930780,1990
