"fips","year","poverty_all","poverty_0_17","poverty_5_17","median_hh_income"
"00000",1990,12.8,19.6,17.7,28906
"01000",1990,17.7,24.1,22.7,22202
"01001",1990,14.3,20.2,19.3,26898
"01003",1990,13.2,18.6,17.8,24043
"01005",1990,26.2,38.2,36.6,18673
"01007",1990,18.9,25,23.6,19604
"01009",1990,13.4,19.4,18.7,24035
"01011",1990,34.1,41.4,40.8,13273
"01013",1990,26.3,36.7,34.3,16683
"01015",1990,15.2,19,17.6,23688
"01017",1990,15.6,19.5,18.2,21277
"01019",1990,14.2,16.8,15.9,21072
"01021",1990,17.1,24.8,22.9,21144
"01023",1990,25.4,32.3,30.5,18426
"01025",1990,23.7,31.3,28.8,20030
"01027",1990,15.6,20.5,19.4,19481
"01029",1990,13.7,18.5,18.6,22445
"01031",1990,12.9,17.8,16.8,25856
"01033",1990,14.8,19.9,19.2,21964
"01035",1990,27.4,35.8,33.4,16284
"01037",1990,16.9,20.5,20.6,19215
"01039",1990,19.5,25.8,24.5,18965
"01041",1990,23.6,32.1,30.5,15765
"01043",1990,14.9,20,18.8,22311
"01045",1990,14.3,19.8,19.7,23419
"01047",1990,33.7,44.9,42.6,15962
"01049",1990,16.8,22.9,21,20404
"01051",1990,14.6,18.4,17.3,25448
"01053",1990,22.2,29.3,27.2,19506
"01055",1990,14.9,20.3,18.8,22255
"01057",1990,17.2,24.1,21.4,21425
"01059",1990,16.8,20.7,19.7,19607
"01061",1990,18.6,24.9,23.4,19515
"01063",1990,42.2,55.3,51.7,12303
"01065",1990,35.9,41.7,40.7,12949
"01067",1990,18.3,25.4,23.8,20669
"01069",1990,15.7,21.7,20.3,24816
"01071",1990,15.1,18.9,17.7,23015
"01073",1990,17.3,23,21.6,24448
"01075",1990,15.7,18.8,18.3,21093
"01077",1990,13.5,17.3,16.6,23755
"01079",1990,16.5,21.5,20.8,21579
"01081",1990,15.5,15.5,14.9,23594
"01083",1990,13.3,17.1,16.5,26176
"01085",1990,39,46.5,46.8,13301
"01087",1990,34.1,42.1,41.2,15374
"01089",1990,11,14.9,14.4,33565
"01091",1990,28.9,39.6,38.3,18240
"01093",1990,16.4,20.9,19.7,20098
"01095",1990,13.8,17.6,16.6,21850
"01097",1990,22.6,32.3,29.5,21923
"01099",1990,21.7,28.7,26.9,19867
"01101",1990,18.8,26.4,24.4,25502
"01103",1990,11.5,14.8,14.1,28343
"01105",1990,49,61,57.7,11248
"01107",1990,25.2,33.8,32.2,17165
"01109",1990,25.7,34.1,33.3,17732
"01111",1990,17.6,22.2,20.7,18853
"01113",1990,19.8,30.5,30,20247
"01115",1990,13.7,19.4,18.6,24336
"01117",1990,7.7,10.5,10.3,36980
"01119",1990,37.5,52.2,48.7,14425
"01121",1990,20.8,28,26.3,20464
"01123",1990,15.7,19.3,18.4,21509
"01125",1990,18.7,23.3,21.3,23778
"01127",1990,16.3,22,20.5,20838
"01129",1990,20.3,26.1,24.1,21025
"01131",1990,45.5,62.4,56.3,13401
"01133",1990,16.1,21,20.9,19317
"02000",1990,10.6,15.4,12.9,33885
"02013",1990,NA,NA,NA,NA
"02016",1990,NA,NA,NA,NA
"02020",1990,9.2,12.9,9.9,40761
"02050",1990,44,59.8,56.7,23163
"02060",1990,3,2.5,NA,31480
"02070",1990,22.2,26.3,27.8,36084
"02090",1990,8.7,11.8,9.7,33602
"02100",1990,11.3,14.2,12.6,40078
"02110",1990,5.6,7.4,6,40991
"02122",1990,8.7,11.7,9.5,36507
"02130",1990,6.8,7.9,6.3,42443
"02150",1990,6.1,7.3,6.5,41872
"02164",1990,NA,NA,NA,NA
"02170",1990,10.4,15.5,12.1,32356
"02180",1990,30,41.3,38,24449
"02185",1990,6.2,7.4,6.8,36674
"02188",1990,NA,NA,NA,NA
"02201",1990,12.2,20,16.8,31106
"02220",1990,5.6,7.4,5.9,39392
"02231",1990,9.6,13.3,11.2,NA
"02240",1990,17.7,24.8,21.2,28224
"02261",1990,7.1,9.6,8.7,46460
"02270",1990,53.4,75.2,77.1,21289
"02280",1990,8.1,10.5,8.8,39651
"02290",1990,28.9,38.2,33.9,23368
"04000",1990,14.7,23.3,21.5,28924
"04001",1990,41.1,48.8,47.2,17446
"04003",1990,17.8,25.6,23.3,23959
"04005",1990,19.6,25.9,24.6,25450
"04007",1990,19.7,28.3,25.2,20404
"04009",1990,26.3,36.7,32.4,20086
"04011",1990,11.3,13.5,11.2,29241
"04012",1990,NA,NA,NA,NA
"04013",1990,11.9,19.5,17.5,30746
"04015",1990,12.4,20.7,19.2,20839
"04017",1990,29.9,44,41.5,20761
"04019",1990,15.4,24.2,22.6,24839
"04021",1990,22.4,35.7,32.3,21491
"04023",1990,22.2,31.3,30.5,20217
"04025",1990,13.3,19.9,18.4,21249
"04027",1990,23.1,27.4,26.7,20972
"05000",1990,17.9,24.4,22.3,20729
"05001",1990,18,23.7,21.6,20242
"05003",1990,19.8,25.1,22.4,21764
"05005",1990,12.1,18.2,16.3,18428
"05007",1990,8.9,12.4,11.3,24715
"05009",1990,14.3,19.8,17.7,20128
"05011",1990,22.4,28.9,27.3,17672
"05013",1990,18.2,26.8,25,19056
"05015",1990,14.3,18.2,16.2,18128
"05017",1990,41.8,56.9,50.9,13229
"05019",1990,19.7,21.8,20.1,19094
