STATEFP,NAME,fips,bea_fips
39,Pike,39131,
46,Aurora,46003,
55,Eau Claire,55035,
48,Kendall,48259,
40,Caddo,40015,
19,Ida,19093,
28,Lafayette,28071,
12,DeSoto,12027,
31,Phelps,31137,
26,Roscommon,26143,
16,Payette,16075,
45,Spartanburg,45083,
36,Cattaraugus,36009,
18,Dubois,18037,
19,Palo Alto,19147,
20,Woodson,20207,
26,Calhoun,26025,
31,Kearney,31099,
40,Washita,40149,
46,Hamlin,46057,
48,Coke,48081,
20,Sherman,20181,
29,Harrison,29081,
40,Sequoyah,40135,
8,Douglas,8035,
18,Hancock,18059,
19,Black Hawk,19013,
22,Lincoln,22061,
29,Lafayette,29107,
39,Fayette,39047,
48,Frio,48163,
48,Terry,48445,
56,Platte,56031,
19,Jasper,19099,
20,Cowley,20035,
38,Griggs,38039,
22,Caldwell,22021,
27,Carlton,27017,
18,LaGrange,18087,
20,Wyandotte,20209,
19,Worth,19195,
31,Perkins,31135,
8,Phillips,8095,
29,Andrew,29003,
36,Wayne,36117,
36,Orange,36071,
13,Madison,13195,
31,Saline,31151,
17,Jefferson,17081,
19,Floyd,19067,
19,Keokuk,19107,
31,Polk,31143,
20,Ness,20135,
27,Ramsey,27123,
29,Benton,29015,
42,Cambria,42021,
48,Carson,48065,
51,Appomattox,51011,
51,Williamsburg,51830,51931
48,Schleicher,48413,
19,Boone,19015,
28,Lauderdale,28075,
21,Caldwell,21033,
48,Castro,48069,
28,Prentiss,28117,
20,Wilson,20205,
20,McPherson,20113,
31,Sherman,31163,
17,Cumberland,17035,
5,Columbia,5027,
6,San Francisco,6075,
21,Allen,21003,
36,Chemung,36015,
46,Minnehaha,46099,
51,Dickenson,51051,
8,Elbert,8039,
16,Gooding,16047,
17,Saline,17165,
20,Douglas,20045,
27,Swift,27151,
39,Morrow,39117,
48,Dickens,48125,
48,Titus,48449,
51,Isle of Wight,51093,
48,Gillespie,48171,
20,Kearny,20093,
31,Arthur,31005,
37,New Hanover,37129,
16,Benewah,16009,
26,Benzie,26019,
12,St. Johns,12109,
47,Obion,47131,
51,Danville,51590,51939
8,Broomfield,8014,
31,Clay,31035,
20,Jefferson,20087,
27,Grant,27051,
28,Newton,28101,
31,Hamilton,31081,
31,Lancaster,31109,
39,Clinton,39027,
48,Gray,48179,
48,Hamilton,48193,
51,Fluvanna,51065,
54,Doddridge,54017,
51,Greene,51079,
28,Wayne,28153,
39,Hardin,39065,
5,Lawrence,5075,
18,Steuben,18151,
19,Des Moines,19057,
26,Baraga,26013,
31,Nuckolls,31129,
39,Lake,39085,
44,Bristol,44001,
5,Searcy,5129,
13,Macon,13193,
27,McLeod,27085,
29,Iron,29093,
19,Marshall,19127,
47,Warren,47177,
48,Randall,48381,
28,DeSoto,28033,
55,Washburn,55129,
51,Madison,51113,
39,Madison,39097,
48,Hartley,48205,
19,Mahaska,19123,
13,White,13311,
21,Gallatin,21077,
18,Pulaski,18131,
20,Clark,20025,
31,Harlan,31083,
36,New York,36061,
44,Kent,44003,
13,Toombs,13279,
12,Hardee,12049,
13,Peach,13225,
20,Finney,20055,
29,Maries,29125,
48,Colorado,48089,
35,Eddy,35015,
21,Hopkins,21107,
19,Hancock,19081,
26,Hillsdale,26059,
48,Deaf Smith,48117,
20,Neosho,20133,
20,Wichita,20203,
49,Piute,49031,
26,Kent,26081,
26,Mason,26105,
27,Wadena,27159,
21,Owsley,21189,
21,Todd,21219,
17,Ford,17053,
17,Hamilton,17065,
21,Bourbon,21017,
27,Carver,27019,
21,Carter,21043,
46,Clark,46025,
16,Kootenai,16055,
18,Monroe,18105,
18,Elkhart,18039,
19,Mills,19129,
26,Manistee,26101,
31,Webster,31181,
40,Craig,40035,
5,Conway,5029,
18,Cass,18017,
27,Cottonwood,27033,
31,Stanton,31167,
37,Franklin,37069,
31,Fillmore,31059,
46,Douglas,46043,
48,Ward,48475,
55,Jefferson,55055,
42,Wyoming,42131,
38,Renville,38075,
39,Trumbull,39155,
39,Henry,39069,
1,Escambia,1053,
17,Montgomery,17135,
26,Clare,26035,
19,Adair,19001,
11,District of Columbia,11001,
17,Morgan,17137,
19,Union,19175,
47,Meigs,47121,
55,Outagamie,55087,
46,Haakon,46055,
19,Buchanan,19019,
20,Linn,20107,
19,Chickasaw,19037,
37,Rowan,37159,
20,Wallace,20199,
20,Chase,20017,
31,Custer,31041,
19,Kossuth,19109,
16,Camas,16025,
18,Crawford,18025,
47,Grundy,47061,
48,Chambers,48071,
16,Oneida,16071,
19,Shelby,19165,
18,Clay,18021,
31,Thayer,31169,
18,Clinton,18023,
17,Jackson,17077,
29,Gasconade,29073,
18,Starke,18149,
29,Laclede,29105,
39,Richland,39139,
48,Roberts,48393,
48,Sherman,48421,
39,Shelby,39149,
48,Throckmorton,48447,
17,Williamson,17199,
39,Van Wert,39161,
39,Wyandot,39175,
39,Guernsey,39059,
39,Huron,39077,
48,Zavala,48507,
21,Calloway,21035,
46,Spink,46115,
46,Deuel,46039,
46,Hutchinson,46067,
48,Bee,48025,
46,Kingsbury,46077,
47,Humphreys,47085,
49,Beaver,49001,
53,Yakima,53077,
27,Lincoln,27081,
27,Lyon,27083,
29,Adair,29001,
48,Bosque,48035,
47,Washington,47179,
55,Rusk,55107,
45,Pickens,45077,
55,Washington,55131,
30,Silver Bow,30093,
53,Walla Walla,53071,
29,Cooper,29053,
29,Dade,29057,
26,Otsego,26137,
33,Belknap,33001,
48,Briscoe,48045,
27,Nobles,27105,
29,Lawrence,29109,
51,Russell,51167,
48,Ellis,48139,
31,Scotts Bluff,31157,
31,Sioux,31165,
26,Missaukee,26113,
51,Fredericksburg,51630,51951
42,Sullivan,42113,
39,Knox,39083,
42,Tioga,42117,
51,Sussex,51183,
48,Hale,48189,
48,Hall,48191,
29,Webster,29225,
38,Kidder,38043,
51,Bristol,51520,51953
29,Phelps,29161,
51,Harrisonburg,51660,51947
20,Brown,20013,
37,Lenoir,37107,
48,Lampasas,48281,
48,Bell,48027,
53,Spokane,53063,
56,Uinta,56041,
48,Sutton,48435,
55,Walworth,55127,
51,Waynesboro,51820,51907
32,Storey,32029,
12,Union,12125,
20,Cherokee,20021,
42,Clearfield,42033,
28,Carroll,28015,
47,Franklin,47051,
27,Itasca,27061,
18,Adams,18001,
8,Eagle,8037,
20,Anderson,20003,
48,King,48269,
37,Stokes,37169,
8,Hinsdale,8053,
19,Davis,19051,
5,Yell,5149,
48,La Salle,48283,
19,Franklin,19069,
17,Marion,17121,
51,Dinwiddie,51053,51918
20,Thomas,20193,
17,Randolph,17157,
19,Montgomery,19137,
36,Tompkins,36109,
40,Blaine,40011,
51,Poquoson,51735,51958
48,Lynn,48305,
48,Menard,48327,
48,Reagan,48383,
29,St. Clair,29185,
48,Wilbarger,48487,
48,Stonewall,48433,
48,Howard,48227,
48,Haskell,48207,
20,Chautauqua,20019,
36,Greene,36039,
48,Upshur,48459,
31,Gage,31067,
36,Albany,36001,
47,Lincoln,47103,
51,Orange,51137,
51,Lynchburg,51680,51911
1,Morgan,1103,
40,Latimer,40077,
54,Ohio,54069,
13,Fayette,13113,
13,Richmond,13245,
48,Navarro,48349,
20,Harper,20077,
48,Live Oak,48297,
48,Hockley,48219,
27,Isanti,27059,
48,Stephens,48429,
48,Somervell,48425,
31,Saunders,31155,
27,Sherburne,27141,
48,Motley,48345,
13,Webster,13307,
13,Heard,13149,
13,Greene,13133,
55,Sawyer,55113,
55,Wood,55141,
5,Ouachita,5103,
39,Paulding,39125,
46,Oglala Lakota,46102,
29,Scotland,29199,
29,Lewis,29111,
8,Crowley,8025,
31,Pierce,31139,
28,Panola,28107,
18,Warren,18171,
1,Perry,1105,
40,Oklahoma,40109,
17,Vermilion,17183,
51,Virginia Beach,51810,
19,Audubon,19009,
20,Osborne,20141,
31,Cuming,31039,
55,Chippewa,55017,
18,Wells,18179,
19,Henry,19087,
22,West Carroll,22123,
18,Miami,18103,
29,Polk,29167,
6,Nevada,6057,
20,Lane,20101,
20,Marshall,20117,
20,Ottawa,20143,
55,Barron,55005,
55,Dane,55025,
19,Allamakee,19005,
22,Jackson,22049,
51,Norton,51720,51955
55,Vernon,55123,
51,Smyth,51173,
20,Butler,20015,
13,Evans,13109,
18,Jasper,18073,
20,Morton,20129,
21,Scott,21209,
26,Ogemaw,26129,
38,Slope,38087,
55,Calumet,55015,
36,Yates,36123,
1,Lamar,1075,
1,Pickens,1107,
54,Pleasants,54073,
5,Drew,5043,
29,Sullivan,29211,
54,Marion,54049,
54,Harrison,54033,
12,Bay,12005,
31,Frontier,31063,
12,Gadsden,12039,
12,Leon,12073,
13,Decatur,13087,
28,Pike,28113,
28,Clarke,28023,
28,George,28039,
29,Schuyler,29197,
18,Brown,18013,
12,Gulf,12045,
29,Newton,29145,
18,Marshall,18099,
31,Hooker,31091,
45,Marion,45067,
29,Texas,29215,
17,McDonough,17109,
48,Yoakum,48501,
39,Pickaway,39129,
27,Winona,27169,
48,Kent,48263,
28,Marion,28091,
8,Alamosa,8003,
13,Glascock,13125,
48,Moore,48341,
48,Childress,48075,
20,Greeley,20071,
1,Chambers,1017,
46,Brookings,46011,
27,Le Sueur,27079,
48,Falls,48145,
46,Brule,46015,
5,Grant,5053,
19,Winnebago,19189,
13,Pulaski,13235,
21,Woodford,21239,
47,Trousdale,47169,
31,Boyd,31015,
37,Macon,37113,
18,Ripley,18137,
31,Grant,31075,
51,Suffolk,51800,
13,Lincoln,13181,
37,Rockingham,37157,
20,Osage,20139,
47,Morgan,47129,
55,Fond du Lac,55039,
48,Potter,48375,
19,Decatur,19053,
36,Tioga,36107,
18,Kosciusko,18085,
48,Baylor,48023,
39,Fairfield,39045,
31,Hitchcock,31087,
36,Oneida,36065,
22,East Feliciana,22037,
47,Marion,47115,
20,Russell,20167,
26,Montmorency,26119,
48,Collin,48085,
56,Weston,56045,
29,Ste. Genevieve,29186,
29,Randolph,29175,
53,San Juan,53055,
22,Ascension,22005,
29,Pulaski,29169,
48,Kleberg,48273,
48,Real,48385,
19,Madison,19121,
48,Wheeler,48483,
13,Stephens,13257,
27,Olmsted,27109,
5,Cross,5037,
31,Red Willow,31145,
46,Moody,46101,
20,Nemaha,20131,
13,Taylor,13269,
37,Hertford,37091,
37,Clay,37043,
54,Mason,54053,
17,Calhoun,17013,
13,Lumpkin,13187,
36,Chenango,36017,
12,Flagler,12035,
22,East Baton Rouge,22033,
20,Kiowa,20097,
47,McNairy,47109,
31,Johnson,31097,
29,Montgomery,29139,
40,Alfalfa,40003,
18,Johnson,18081,
18,Lawrence,18093,
13,Thomas,13275,
12,Lafayette,12067,
31,Garfield,31071,
40,Lincoln,40081,
5,Johnson,5071,
17,Henry,17073,
27,Benton,27009,
5,Ashley,5003,
28,Tippah,28139,
13,Schley,13249,
28,Stone,28131,
55,Portage,55097,
20,Crawford,20037,
48,Dallam,48111,
29,Clark,29045,
40,Garfield,40047,
21,Larue,21123,
13,Pierce,13229,
20,Grant,20067,
55,Taylor,55119,
48,Fisher,48151,
26,Van Buren,26159,
37,Guilford,37081,
48,Floyd,48153,
20,Cloud,20029,
29,Gentry,29075,
48,Hill,48217,
19,Winneshiek,19191,
47,Polk,47139,
48,Cass,48067,
13,Worth,13321,
26,Clinton,26037,
48,Dimmit,48127,
27,Anoka,27003,
48,Archer,48009,
46,Hanson,46061,
17,Grundy,17063,
55,Lincoln,55069,
53,Franklin,53021,
39,Clark,39023,
5,Scott,5127,
