row,var,year,race,sex,fb_total,fb,less_12,hs,assoc,college,total,fips,file
1,edu,2015,0,1,,,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD02,GEO.id2,ACS_15_5YR_C15002A_with_ann_nolabel_white
2,edu,2015,0,2,,,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD07,GEO.id2,ACS_15_5YR_C15002A_with_ann_nolabel_white
3,edu,2015,1,1,,,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD02,GEO.id2,ACS_15_5YR_C15002B_with_ann_nolabels_black
4,edu,2015,1,2,,,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD07,GEO.id2,ACS_15_5YR_C15002B_with_ann_nolabels_black
5,edu,2010,0,1,,,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD02,GEO.id2,ACS_10_5YR_C15002H_with_ann
6,edu,2010,0,2,,,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD07,GEO.id2,ACS_10_5YR_C15002H_with_ann
7,edu,2010,1,1,,,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD02,GEO.id2,ACS_10_5YR_C15002B_with_ann
8,edu,2010,1,2,,,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD07,GEO.id2,ACS_10_5YR_C15002B_with_ann
9,edu,2005,0,1,,,HD01_VD03+HD01_VD04,HD01_VD05,HD01_VD07,HD01_VD08+HD01_VD09,HD01_VD02,GEO.id2,ACS_05_EST_B15002A_with_ann_nolabels_white
10,edu,2005,0,2,,,HD01_VD11+HD01_VD12,HD01_VD13,HD01_VD15,HD01_VD16+HD01_VD17,HD01_VD10,GEO.id2,ACS_05_EST_B15002A_with_ann_nolabels_white
11,edu,2005,1,1,,,HD01_VD03+HD01_VD04,HD01_VD05,HD01_VD07,HD01_VD08+HD01_VD09,HD01_VD02,GEO.id2,ACS_05_EST_B15002B_with_ann_nolabels_black
12,edu,2005,1,2,,,HD01_VD11+HD01_VD12,HD01_VD13,HD01_VD15,HD01_VD16+HD01_VD17,HD01_VD10,GEO.id2,ACS_05_EST_B15002B_with_ann_nolabels_black
13,edu,2000,0,1,,,VD03+VD04,VD05,VD07,VD08+VD09,VD02,GEO.id2,DEC_00_SF3_P148A_with_ann_nolabels_white
14,edu,2000,0,2,,,VD11+VD12,VD13,VD15,VD16+VD17,VD10,GEO.id2,DEC_00_SF3_P148A_with_ann_nolabels_white
15,edu,2000,1,1,,,VD03+VD04,VD05,VD07,VD08+VD09,VD02,GEO.id2,DEC_00_SF3_P148B_with_ann_nolabels_black
16,edu,2000,1,2,,,VD11+VD12,VD13,VD15,VD16+VD17,VD10,GEO.id2,DEC_00_SF3_P148B_with_ann_nolabels_black
17,fb,2015,0,1,HD01_VD08,HD01_VD10,,,,,,GEO.id2,ACS_15_5YR_B05003H_with_ann_nolabel_white
18,fb,2015,0,2,HD01_VD19,HD01_VD21,,,,,,GEO.id2,ACS_15_5YR_B05003H_with_ann_nolabel_white
19,fb,2015,1,1,HD01_VD08,HD01_VD10,,,,,,GEO.id2,ACS_15_5YR_B05003B_with_ann_nolabel_black
20,fb,2015,1,2,HD01_VD19,HD01_VD21,,,,,,GEO.id2,ACS_15_5YR_B05003B_with_ann_nolabel_black
