GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01003,01003,"Baldwin County, Alabama",99102,561,47855,466,1690,693,3624,889,12335,1770,11976,1917,3701,1256,10045,1642,4484,918,51247,389,2014,810,4422,1388,15007,1533,10947,1480,5139,1063,8629,1381,5089,1177
0500000US01015,01015,"Calhoun County, Alabama",59338,528,28155,209,1650,653,3825,894,7568,1103,6047,1209,2645,872,4054,866,2366,624,31183,564,2148,784,4847,859,11305,1565,5689,1090,1523,545,3565,841,2106,591
0500000US01043,01043,"Cullman County, Alabama",52502,372,25596,183,2171,656,4246,954,9268,1309,4833,1095,2020,594,1934,583,1124,397,26906,236,2240,523,3989,715,9880,1312,5063,1068,2149,682,2112,644,1473,569
0500000US01049,01049,"DeKalb County, Alabama",41703,1038,20058,547,2324,647,3806,836,6638,940,3628,799,1595,837,1700,631,367,252,21645,557,3138,856,4476,1026,7240,1053,3380,760,1100,506,1713,590,598,360
0500000US01051,01051,"Elmore County, Alabama",36359,559,17786,357,408,264,2008,867,6112,865,4456,875,933,435,2623,706,1246,453,18573,291,746,391,1547,556,6429,1103,5436,1084,944,446,2147,681,1324,453
0500000US01055,01055,"Etowah County, Alabama",59370,371,28097,303,1487,408,4468,766,8786,1116,6871,1025,1822,579,2706,681,1957,532,31273,151,1797,646,6075,1210,9277,1104,7540,1007,3301,745,1932,696,1351,403
0500000US01069,01069,"Houston County, Alabama",46551,159,21980,93,961,312,2300,696,5904,737,5528,912,1438,409,4071,593,1778,364,24571,102,1115,293,2532,679,7097,796,6128,750,1679,317,3381,493,2639,774
0500000US01073,01073,"Jefferson County, Alabama",257749,1156,122551,761,4708,1200,9061,2050,31828,3228,25043,2447,6256,1146,27612,2777,18043,2256,135198,610,3942,1359,10298,1829,41506,2797,28469,2436,7557,1434,25992,2434,17434,1943
0500000US01077,01077,"Lauderdale County, Alabama",53013,319,25288,170,1774,704,3069,893,8291,1115,5371,1038,1481,814,3406,761,1896,638,27725,189,1934,647,4511,856,9281,1065,4661,981,2359,718,3381,851,1598,551
0500000US01081,01081,"Lee County, Alabama",50386,314,24991,140,871,344,2303,759,5630,933,6004,947,2197,788,4483,841,3503,721,25395,234,1099,539,2799,875,6835,1029,4834,922,2228,736,4419,843,3181,634
0500000US01083,01083,"Limestone County, Alabama",39160,264,19074,250,1506,528,3167,892,5734,976,4737,988,882,464,2251,678,797,392,20086,45,759,313,2424,679,7721,1067,4090,764,1238,403,2878,729,976,481
0500000US01089,01089,"Madison County, Alabama",145958,618,71009,400,2381,652,5134,1138,12270,2129,12445,1712,3065,997,21617,1891,14097,1765,74949,349,2116,624,5513,1281,17565,1829,16842,1650,4856,938,20055,2163,8002,1248
0500000US01095,01095,"Marshall County, Alabama",54863,530,26333,493,3385,834,4316,967,6196,1065,6796,1224,1798,651,2591,644,1251,515,28530,305,2564,802,4102,918,9010,1325,5724,887,2724,788,2853,763,1553,559
0500000US01097,01097,"Mobile County, Alabama",165466,520,79480,340,3277,1264,8923,1333,27204,2240,15958,1993,5294,1366,11397,1359,7427,1250,85986,389,1860,617,10392,1730,31197,2972,18366,1893,5790,1325,11525,1302,6856,1447
0500000US01101,01101,"Montgomery County, Alabama",67287,359,31549,225,988,425,2293,857,4855,884,6710,1024,1634,561,7370,1101,7699,1453,35738,180,783,369,2463,965,10637,1290,6621,859,1564,557,8661,1411,5009,975
0500000US01103,01103,"Morgan County, Alabama",64888,941,31316,812,2302,832,3307,889,8994,1437,7480,1275,2359,755,5013,947,1861,574,33572,327,2250,698,3729,880,11367,1389,7222,1174,2954,768,3968,774,2082,665
