GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
0500000US01003,1003,"Baldwin County, Alabama",8446,581,3536,205,506,302,282,247,2178,502,187,199,0,270,294,329,89,147,4910,568,513,365,758,477,1916,718,1242,640,280,247,201,259,0,270
0500000US01015,1015,"Calhoun County, Alabama",13297,467,5995,466,224,182,478,313,3972,873,870,554,112,142,199,185,140,178,7302,23,456,258,1285,479,3026,894,1337,637,153,173,889,700,156,134
0500000US01051,1051,"Elmore County, Alabama",6189,525,2461,227,207,198,412,363,965,418,574,405,204,327,74,114,25,42,3728,442,223,194,902,568,1748,533,522,307,141,200,192,161,0,270
0500000US01055,1055,"Etowah County, Alabama",8257,527,3258,245,50,83,757,494,1640,480,427,297,61,101,275,227,48,75,4999,454,74,77,599,251,2065,693,909,319,491,281,468,397,393,296
0500000US01069,1069,"Houston County, Alabama",13964,112,5891,112,840,275,784,279,2475,371,1124,286,301,167,190,114,177,154,8073,270,805,168,1575,335,2350,428,2028,542,439,273,655,222,221,117
0500000US01073,1073,"Jefferson County, Alabama",160019,1004,68340,307,4717,1161,11094,1860,23400,2613,17370,2467,3642,1123,6250,1592,1867,655,91679,947,3087,810,12201,1800,28573,2843,24398,2542,7325,1197,11437,1437,4658,1261
0500000US01081,1081,"Lee County, Alabama",16014,111,7072,33,373,192,1579,601,2340,656,1178,480,619,328,630,331,353,196,8942,104,772,263,1253,466,2389,630,1982,496,1300,595,729,346,517,244
0500000US01083,1083,"Limestone County, Alabama",5386,378,2348,313,422,210,300,323,1131,415,249,246,58,103,142,172,46,83,3038,379,272,227,462,344,1176,592,707,406,208,268,0,270,213,202
0500000US01089,1089,"Madison County, Alabama",38734,404,17507,176,399,387,3018,984,3991,941,3393,957,2687,1160,3226,885,793,348,21227,348,1036,352,3011,959,4729,1146,4379,1026,1697,672,3641,960,2734,790
0500000US01097,1097,"Mobile County, Alabama",77684,240,32874,135,2250,788,6221,1473,10958,1906,5873,1314,2855,1342,3186,1287,1531,912,44810,167,2496,661,6768,1447,15839,1895,9718,1935,2984,752,4718,1146,2287,671
0500000US01101,1101,"Montgomery County, Alabama",62978,525,26924,389,2003,841,5583,1384,7933,1465,5950,1424,1299,613,2259,911,1897,759,36054,344,2643,679,6112,1840,11375,1936,5740,1094,2315,680,4145,1110,3724,1158
0500000US01103,1103,"Morgan County, Alabama",7386,526,3581,665,179,186,515,388,1866,796,655,427,74,124,292,330,0,270,3805,605,0,270,504,394,1391,600,662,571,549,488,570,457,129,170
0500000US01117,1117,"Shelby County, Alabama",9156,679,3900,479,134,200,263,285,1507,783,609,397,139,175,917,482,331,299,5256,574,368,525,320,311,723,388,930,644,406,324,2352,559,157,173
0500000US01121,1121,"Talladega County, Alabama",13469,829,5463,756,272,318,1626,544,2911,825,445,364,46,77,76,92,87,115,8006,248,779,346,1794,695,3051,694,1405,670,337,316,439,308,201,203
0500000US01125,1125,"Tuscaloosa County, Alabama",26799,616,10785,616,882,480,2152,641,4028,755,2233,830,691,394,543,398,256,219,16014,270,1159,478,2585,930,5138,1011,3599,907,625,319,1767,642,1141,499
0500000US02020,2020,"Anchorage Municipality, Alaska",9036,877,4476,503,0,233,613,504,1332,614,1577,860,461,440,240,212,253,219,4560,498,183,209,533,517,1186,527,1576,688,540,537,312,308,230,231
0500000US04013,4013,"Maricopa County, Arizona",79361,1789,39889,1126,1515,738,3213,845,10885,1936,12487,1792,3670,1063,5937,1517,2182,741,39472,1070,1710,550,4436,1426,8920,1605,12882,1602,4135,1017,5029,1176,2360,870
0500000US04019,4019,"Pima County, Arizona",16088,644,8605,438,560,432,835,482,1498,582,2729,735,410,288,1659,620,914,387,7483,385,545,429,574,300,1117,480,2141,643,1113,467,951,389,1042,432
0500000US05069,5069,"Jefferson County, Arkansas",21993,443,9427,347,534,334,1255,626,4204,821,1963,588,405,337,577,302,489,303,12566,226,605,224,1604,528,4124,831,3165,914,774,349,1564,542,730,296
0500000US05119,5119,"Pulaski County, Arkansas",68390,525,29642,372,620,300,3220,916,11559,1625,7760,1630,1876,662,3263,1047,1344,632,38748,449,1945,656,3669,1011,12769,1820,10385,1640,3017,1100,4986,1617,1977,561
0500000US06001,6001,"Alameda County, California",117802,2436,49936,1153,2650,950,2999,943,15061,2030,14207,1978,4607,1207,6684,1792,3728,1568,67866,2123,2786,947,6748,1767,16629,2157,18936,2116,7328,1651,9788,1987,5651,1419
0500000US06013,6013,"Contra Costa County, California",55168,1168,24526,699,769,480,1382,560,8024,1515,5455,1289,2831,1256,4106,992,1959,640,30642,793,427,250,2449,884,10456,1696,6700,1192,3672,1143,4134,1123,2804,835
0500000US06019,6019,"Fresno County, California",22431,510,10252,328,533,320,764,455,2070,792,4044,877,954,622,1301,623,586,490,12179,352,619,364,1487,537,3198,945,4038,919,1332,627,915,491,590,419
0500000US06029,6029,"Kern County, California",18848,531,8799,363,679,353,1100,555,2205,712,2077,739,860,397,1399,721,479,410,10049,230,892,391,1657,628,2197,966,2594,856,851,449,1346,657,512,390
0500000US06037,6037,"Los Angeles County, California",533361,3844,232290,2474,11318,2061,25420,3904,63849,4906,57399,4935,20818,3539,39171,3663,14315,2684,301071,2696,11464,1804,30539,3706,77060,4891,87138,4714,29095,3376,42918,3751,22857,3296
0500000US06047,6047,"Merced County, California",4781,639,2438,531,329,307,85,150,677,503,576,429,224,215,547,476,0,293,2343,327,59,102,231,185,521,349,600,320,674,353,157,137,101,145
0500000US06053,6053,"Monterey County, California",6192,377,3303,258,32,52,150,145,1011,388,763,392,340,218,873,501,134,137,2889,294,68,112,506,397,524,330,919,376,164,146,453,279,255,196
0500000US06059,6059,"Orange County, California",27857,2142,15253,1330,381,324,873,486,3069,901,4509,1082,1167,723,3336,937,1918,766,12604,1330,617,375,320,243,2154,796,4017,981,764,448,2906,934,1826,707
0500000US06065,6065,"Riverside County, California",62872,1788,29756,1296,782,587,1851,690,7953,1624,8961,1478,3830,1154,4222,1019,2157,753,33116,1004,607,329,1282,489,7713,1495,11677,1846,4086,1121,4848,1448,2903,782
0500000US06067,6067,"Sacramento County, California",74194,1217,33967,693,958,429,5035,2347,7409,1535,9585,1621,3363,1017,5612,1395,2005,803,40227,893,994,511,4915,1102,11274,2195,13045,2039,5058,1398,3681,952,1260,587
0500000US06071,6071,"San Bernardino County, California",92492,2005,42965,1129,1977,1186,3954,1464,10969,2084,13652,2230,4654,1253,5237,1933,2522,1150,49527,1713,720,400,5435,1483,13181,2323,14463,1894,6899,1854,5821,1571,3008,1073
0500000US06073,6073,"San Diego County, California",77753,1661,38715,1287,1243,817,2246,1007,11510,1927,11833,1909,3672,1233,5249,1205,2962,996,39038,686,838,455,2616,684,10343,1733,12696,1792,3277,787,5974,1227,3294,972
0500000US06075,6075,"San Francisco County, California",32111,777,14920,556,655,438,2254,880,4756,929,3536,854,1317,705,1602,619,800,432,17191,521,1066,445,2329,795,4024,971,4430,899,1670,703,2382,667,1290,519
0500000US06077,6077,"San Joaquin County, California",25337,780,11801,530,146,132,1195,501,3311,930,4168,1088,946,499,1677,852,358,267,13536,489,839,456,1282,647,2076,716,6024,1084,1902,914,836,365,577,328
0500000US06081,6081,"San Mateo County, California",13973,832,6590,377,179,174,769,476,1775,627,1453,575,592,315,792,454,1030,656,7383,692,481,410,664,280,1841,769,1714,668,534,277,835,443,1314,707
0500000US06083,6083,"Santa Barbara County, California",4224,681,2169,424,80,104,87,111,626,359,936,550,244,229,196,154,0,293,2055,393,192,186,0,293,495,354,686,323,282,251,400,366,0,293
0500000US06085,6085,"Santa Clara County, California",26768,1008,13996,563,136,140,774,462,2398,718,4191,1025,1996,924,2986,932,1515,654,12772,785,142,167,829,451,2623,726,3556,923,1510,637,2789,772,1323,543
0500000US06095,6095,"Solano County, California",33245,915,15231,682,676,596,862,489,3387,993,5833,1205,2145,1099,1805,746,523,333,18014,638,267,235,1261,733,4593,1502,6068,1366,3057,1189,1914,617,854,402
0500000US06099,6099,"Stanislaus County, California",7564,851,4239,631,91,150,960,632,1149,671,898,514,498,611,338,311,305,322,3325,723,71,119,458,394,580,444,943,532,700,490,398,473,175,233
0500000US06111,6111,"Ventura County, California",9082,1131,4346,436,499,412,103,121,415,249,1856,629,167,176,818,515,488,305,4736,1024,41,67,826,1010,477,244,1545,564,929,502,541,341,377,275
0500000US08001,8001,"Adams County, Colorado",6264,667,3297,569,0,274,243,235,521,373,1504,750,612,540,117,125,300,297,2967,412,0,274,466,353,726,413,868,509,247,199,518,412,142,172
0500000US08005,8005,"Arapahoe County, Colorado",28778,676,14298,398,0,274,689,466,4800,1305,3557,991,1485,668,2972,1043,795,411,14480,506,60,101,1408,668,3904,895,3706,1232,2225,944,2151,707,1026,525
0500000US08031,8031,"Denver County, Colorado",34241,759,15926,510,367,282,2011,812,5062,995,4753,1111,847,505,1670,778,1216,804,18315,532,404,321,3180,895,3158,966,4097,1235,1137,594,3550,1117,2789,1224
