GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01001,01001,"Autauga County, Alabama",5691,149,2493,145,180,125,482,204,689,236,143,91,457,196,89,101,182,128,271,194,3198,74,558,182,459,170,829,207,23,28,489,125,327,154,186,109,327,165
0500000US01003,01003,"Baldwin County, Alabama",9808,197,4592,135,328,129,758,236,1900,317,203,128,766,238,261,149,273,204,103,88,5216,127,314,196,778,260,1652,351,148,86,1408,337,496,270,155,120,265,157
0500000US01005,01005,"Barbour County, Alabama",8159,175,4200,138,558,159,1105,256,1373,264,330,148,559,171,121,95,66,59,88,88,3959,71,525,131,808,219,1331,276,81,68,557,246,396,213,102,75,159,123
0500000US01013,01013,"Butler County, Alabama",5381,232,2138,175,397,173,322,123,752,202,39,31,369,158,161,130,77,66,21,18,3243,103,400,109,750,184,918,214,46,49,485,149,350,158,183,132,111,81
0500000US01015,01015,"Calhoun County, Alabama",14023,135,6175,83,410,188,727,237,2066,372,334,166,1591,372,382,203,388,173,277,157,7848,100,570,216,1303,333,2073,370,322,244,2168,309,467,200,683,211,262,95
0500000US01017,01017,"Chambers County, Alabama",8609,82,3797,40,367,138,1032,221,1391,286,150,102,602,194,175,142,57,46,23,34,4812,69,395,162,1273,272,1338,331,278,194,983,247,186,131,296,174,63,62
0500000US01021,01021,"Chilton County, Alabama",2469,191,1146,169,103,92,239,134,486,190,20,32,97,70,133,115,68,72,0,158,1323,69,37,50,336,147,411,124,15,20,226,120,106,86,91,82,101,90
0500000US01025,01025,"Clarke County, Alabama",6596,346,2874,194,294,151,456,219,1470,258,0,158,199,132,236,184,141,115,78,73,3722,264,522,250,628,218,1502,394,29,44,596,239,306,163,32,39,107,88
0500000US01031,01031,"Coffee County, Alabama",5294,116,2435,98,206,89,609,154,703,165,155,91,368,136,26,27,259,146,109,92,2859,46,243,97,614,163,882,181,158,106,531,146,153,75,171,86,107,101
