GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
0500000US01001,1001,"Autauga County, Alabama",5561,67,2446,41,574,153,1022,176,509,152,341,137,3115,44,992,165,974,156,702,135,447,119
0500000US01003,1003,"Baldwin County, Alabama",9741,151,4577,115,1375,225,1919,276,953,221,330,144,5164,82,903,220,2212,338,1540,285,509,172
0500000US01005,1005,"Barbour County, Alabama",8140,96,4226,65,1676,191,1765,207,670,134,115,69,3914,58,1486,188,1450,194,682,131,296,112
0500000US01007,1007,"Bibb County, Alabama",2534,513,1446,337,530,221,817,274,91,68,8,13,1088,249,315,144,550,181,63,44,160,150
0500000US01009,1009,"Blount County, Alabama",513,119,206,94,34,37,53,47,54,56,65,73,307,85,69,76,116,73,68,62,54,61
0500000US01011,1011,"Bullock County, Alabama",4967,308,2470,294,770,181,1025,271,626,240,49,33,2497,65,862,196,752,163,635,153,248,86
0500000US01013,1013,"Butler County, Alabama",5405,137,2223,108,816,152,821,160,492,144,94,58,3182,64,1089,156,1098,181,759,142,236,88
0500000US01015,1015,"Calhoun County, Alabama",13734,141,5993,135,1343,227,2300,313,1704,240,646,169,7741,46,1997,260,2310,252,2391,289,1043,178
0500000US01017,1017,"Chambers County, Alabama",8538,64,3755,46,1398,190,1551,221,654,143,152,66,4783,45,1523,195,1752,237,1287,194,221,116
0500000US01019,1019,"Cherokee County, Alabama",821,130,375,117,13,18,281,129,70,49,11,18,446,52,135,70,262,81,42,46,7,12
0500000US01021,1021,"Chilton County, Alabama",2442,103,1068,68,237,96,517,138,264,107,50,45,1374,86,393,131,554,126,290,91,137,87
0500000US01023,1023,"Choctaw County, Alabama",3969,146,1818,87,694,133,807,125,236,85,81,60,2151,102,816,142,657,156,479,121,199,86
0500000US01025,1025,"Clarke County, Alabama",6484,281,2832,130,1068,210,1221,238,422,164,121,71,3652,244,1248,221,1475,301,571,184,358,176
0500000US01027,1027,"Clay County, Alabama",1431,109,676,53,253,94,283,87,88,79,52,65,755,84,296,90,162,64,255,113,42,43
0500000US01029,1029,"Cleburne County, Alabama",416,133,166,108,46,39,93,83,9,18,18,24,250,54,56,44,90,40,89,35,15,30
0500000US01031,1031,"Coffee County, Alabama",5350,112,2522,94,901,149,833,163,477,110,311,128,2828,36,941,158,924,149,699,115,264,105
0500000US01033,1033,"Colbert County, Alabama",5726,51,2495,46,554,154,940,183,673,132,328,122,3231,19,878,195,767,131,994,162,592,142
0500000US01035,1035,"Conecuh County, Alabama",3755,201,1645,146,629,166,642,175,321,150,53,46,2110,101,735,154,797,149,424,156,154,88
0500000US01037,1037,"Coosa County, Alabama",2540,86,1175,40,417,96,519,93,225,81,14,13,1365,66,408,94,578,97,265,105,114,63
0500000US01039,1039,"Covington County, Alabama",2871,124,1245,73,372,147,529,141,275,127,69,64,1626,79,549,127,549,145,471,132,57,36
0500000US01041,1041,"Crenshaw County, Alabama",1934,137,863,73,288,73,368,96,165,88,42,39,1071,99,210,93,520,108,319,87,22,29
0500000US01043,1043,"Cullman County, Alabama",373,81,212,69,96,48,65,29,35,52,16,29,161,36,44,21,57,16,36,31,24,22
