GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
0500000US01001,1001,"Autauga County, Alabama",27155,12,13078,8,1630,248,4454,356,3771,314,3223,278,14077,6,1563,221,5283,430,4206,362,3025,258
0500000US01003,1003,"Baldwin County, Alabama",105552,131,50572,122,5420,533,14417,746,14929,683,15806,778,54980,28,5375,450,16154,728,18556,734,14895,725
0500000US01005,1005,"Barbour County, Alabama",9896,119,5231,119,1089,164,1644,192,1411,193,1087,172,4665,119,759,126,1560,197,1430,192,916,133
0500000US01007,1007,"Bibb County, Alabama",12386,590,6359,454,1603,365,2574,389,1400,297,782,217,6027,247,1372,282,2332,304,1779,260,544,123
0500000US01009,1009,"Blount County, Alabama",35063,119,16916,119,3882,426,6477,480,4334,415,2223,316,18147,119,3983,400,6698,389,5213,391,2253,324
0500000US01011,1011,"Bullock County, Alabama",2090,40,1163,102,133,90,528,135,278,123,224,143,927,107,47,39,365,122,284,103,231,105
0500000US01013,1013,"Butler County, Alabama",8344,119,3892,119,955,221,1531,231,890,169,516,149,4452,119,618,113,1883,210,1326,188,625,154
0500000US01015,1015,"Calhoun County, Alabama",60663,26,28738,26,5940,456,9548,484,8090,456,5160,371,31925,119,6409,515,11801,585,8796,534,4919,403
0500000US01017,1017,"Chambers County, Alabama",14705,15,6971,15,1919,254,2020,247,1982,273,1050,185,7734,119,1724,198,2677,269,2263,253,1070,165
0500000US01019,1019,"Cherokee County, Alabama",17119,119,8370,119,2078,306,2984,318,2374,261,934,204,8749,119,2585,349,2851,329,2391,283,922,190
0500000US01021,1021,"Chilton County, Alabama",24409,17,11746,119,2697,297,4910,390,2821,339,1318,252,12663,17,2837,302,4867,340,3058,305,1901,249
0500000US01023,1023,"Choctaw County, Alabama",5675,119,2730,119,860,155,981,162,545,118,344,85,2945,119,455,126,1379,176,720,159,391,95
0500000US01025,1025,"Clarke County, Alabama",9885,144,4694,76,865,203,1938,266,1091,209,800,159,5191,111,732,200,2197,243,1313,211,949,197
0500000US01027,1027,"Clay County, Alabama",8037,119,3830,119,1017,185,1599,190,837,153,377,110,4207,119,1106,252,1628,177,1010,220,463,128
0500000US01029,1029,"Cleburne County, Alabama",9495,17,4606,17,1515,307,1727,231,997,232,367,94,4889,119,1279,200,2023,223,1137,209,450,126
0500000US01031,1031,"Coffee County, Alabama",24733,38,11928,32,2142,236,2957,237,3733,277,3096,213,12805,16,2041,198,3913,256,3906,272,2945,236
0500000US01033,1033,"Colbert County, Alabama",31131,119,14681,119,2843,404,5101,380,4272,404,2465,293,16450,119,3031,303,5728,375,4994,399,2697,291
0500000US01035,1035,"Conecuh County, Alabama",5063,84,2530,77,632,165,854,168,763,195,281,130,2533,44,516,133,970,187,670,161,377,151
0500000US01037,1037,"Coosa County, Alabama",5568,119,2739,119,754,143,1128,186,492,119,365,111,2829,119,610,133,1203,199,647,128,369,128
0500000US01039,1039,"Covington County, Alabama",22605,119,10714,119,2394,354,4044,391,2747,324,1529,242,11891,119,2525,266,4409,335,3217,273,1740,232
0500000US01041,1041,"Crenshaw County, Alabama",7010,119,3293,119,889,172,1216,173,857,160,331,90,3717,119,978,182,1333,195,930,176,476,101
0500000US01043,1043,"Cullman County, Alabama",51416,29,24756,14,6026,365,8142,539,7077,406,3511,370,26660,15,5539,428,9138,570,8240,460,3743,361
0500000US01045,1045,"Dale County, Alabama",24561,33,12108,33,1694,252,3290,262,4513,297,2611,239,12453,119,1978,245,3975,254,4471,297,2029,227
0500000US01047,1047,"Dallas County, Alabama",9948,119,4681,119,718,165,1835,241,1298,210,830,173,5267,119,726,151,1850,228,1659,205,1032,225
0500000US01049,1049,"DeKalb County, Alabama",40592,23,19415,119,5638,508,6847,471,4666,468,2264,325,21177,23,5899,433,7278,461,5588,493,2412,352
0500000US01051,1051,"Elmore County, Alabama",40422,15,19296,14,2838,358,6436,466,5215,361,4807,397,21126,6,2475,332,7193,364,6814,409,4644,369
0500000US01053,1053,"Escambia County, Alabama",16866,119,8402,119,2178,246,3138,281,2103,259,983,184,8464,119,1460,201,2849,246,2932,274,1223,176
0500000US01055,1055,"Etowah County, Alabama",59016,24,27894,21,4850,461,9109,482,9106,477,4829,379,31122,11,5337,477,10463,512,10345,549,4977,398
0500000US01057,1057,"Fayette County, Alabama",10502,119,5015,119,1213,182,2066,221,1292,206,444,124,5487,119,1405,188,1816,247,1702,226,564,140
0500000US01059,1059,"Franklin County, Alabama",17868,119,8444,119,2346,286,2680,255,2430,275,988,201,9424,119,2556,216,3105,266,2478,252,1285,213
0500000US01061,1061,"Geneva County, Alabama",16001,7,7683,119,1852,251,3209,316,2068,288,554,143,8318,7,2177,265,2782,323,2476,296,883,223
0500000US01063,1063,"Greene County, Alabama",1373,39,651,39,87,53,298,65,236,69,30,26,722,119,185,94,197,70,193,86,147,73
0500000US01065,1065,"Hale County, Alabama",4641,119,2298,119,490,119,754,130,715,130,339,106,2343,119,535,142,758,145,619,120,431,110
0500000US01067,1067,"Henry County, Alabama",8399,119,3985,119,762,194,1668,219,889,195,666,152,4414,119,646,186,1783,241,1097,204,888,187
0500000US01069,1069,"Houston County, Alabama",48603,17,23057,119,3166,205,7300,273,6994,314,5597,213,25546,17,3786,234,8423,318,8243,304,5094,289
0500000US01071,1071,"Jackson County, Alabama",34018,119,16338,119,4263,370,6055,347,3971,351,2049,213,17680,119,4430,426,6269,490,4802,402,2179,299
0500000US01073,1073,"Jefferson County, Alabama",247987,219,116907,150,11686,650,28113,976,31274,933,45834,957,131080,95,13240,688,37641,995,35611,1000,44588,1029
0500000US01075,1075,"Lamar County, Alabama",9052,119,4343,119,1048,230,1978,227,1009,159,308,108,4709,119,1101,215,1826,194,1218,212,564,152
0500000US01077,1077,"Lauderdale County, Alabama",54841,4,25774,4,3976,373,9108,538,6697,506,5993,453,29067,119,4854,408,9850,465,7950,524,6413,453
0500000US01079,1079,"Lawrence County, Alabama",18498,40,8951,23,2283,328,3637,337,2093,260,938,167,9547,17,2667,267,3511,283,2490,238,879,171
0500000US01081,1081,"Lee County, Alabama",53293,153,26048,36,3481,397,5840,390,7261,397,9466,394,27245,141,2799,292,7190,491,8127,515,9129,430
0500000US01083,1083,"Limestone County, Alabama",43642,36,21606,30,3939,349,7009,433,5763,434,4895,384,22036,20,3736,337,7350,420,6321,428,4629,410
0500000US01085,1085,"Lowndes County, Alabama",2252,55,1126,26,165,86,383,83,266,65,312,95,1126,48,253,104,316,90,328,79,229,76
0500000US01087,1087,"Macon County, Alabama",2403,119,1222,119,252,85,444,96,336,76,190,66,1181,119,171,62,507,86,248,78,255,77
0500000US01089,1089,"Madison County, Alabama",152013,92,73732,50,6334,556,14415,674,19169,756,33814,834,78281,66,8025,589,19406,741,23174,908,27676,902
0500000US01091,1091,"Marengo County, Alabama",7002,119,3344,119,453,116,1164,199,831,137,896,151,3658,119,353,102,1291,178,1104,141,910,154
0500000US01093,1093,"Marion County, Alabama",20339,18,9759,18,2592,270,3950,317,2296,283,921,207,10580,119,3134,292,3268,302,3251,329,927,163
0500000US01095,1095,"Marshall County, Alabama",53795,119,25337,119,5834,497,7946,569,7267,467,4290,393,28458,119,6258,483,10085,627,8122,525,3993,367
0500000US01097,1097,"Mobile County, Alabama",168429,117,80820,90,13209,780,26597,1019,22419,927,18595,768,87609,69,12845,786,30352,1085,24486,857,19926,803
0500000US01099,1099,"Monroe County, Alabama",9085,119,4336,119,787,194,1543,233,1230,218,776,160,4749,119,994,212,1896,203,1105,217,754,163
0500000US01101,1101,"Montgomery County, Alabama",66964,163,31867,36,2567,336,7057,586,8041,535,14202,624,35097,160,2797,321,8888,509,9713,552,13699,570
0500000US01103,1103,"Morgan County, Alabama",65527,31,31445,119,5020,447,9780,553,9400,622,7245,487,34082,31,5552,440,11096,621,10879,512,6555,467
0500000US01105,1105,"Perry County, Alabama",2234,227,1076,227,168,91,344,149,149,91,415,153,1158,119,133,56,471,118,344,101,210,95
0500000US01107,1107,"Pickens County, Alabama",8095,119,3935,119,587,141,1742,174,1061,192,545,137,4160,119,875,147,1540,198,1158,172,587,141
0500000US01109,1109,"Pike County, Alabama",11542,119,5603,119,657,141,1736,187,1243,164,1967,195,5939,119,869,129,2084,198,1300,193,1686,160
0500000US01111,1111,"Randolph County, Alabama",12192,119,5840,119,1575,237,2059,267,1437,230,769,150,6352,119,1601,249,2236,274,1645,216,870,142
0500000US01113,1113,"Russell County, Alabama",18948,119,9084,119,1945,273,3300,349,2822,340,1017,187,9864,119,2194,268,3641,307,2828,301,1201,197
0500000US01115,1115,"St. Clair County, Alabama",48689,28,23658,28,4487,455,9044,513,6672,487,3455,401,25031,119,4914,468,8933,563,7373,529,3811,402
0500000US01117,1117,"Shelby County, Alabama",104797,118,50179,73,3674,385,9698,483,14678,616,22129,628,54618,54,3612,363,13273,603,16928,716,20805,743
0500000US01119,1119,"Sumter County, Alabama",2243,120,1048,70,174,86,279,76,328,116,267,79,1195,89,152,66,422,107,252,77,369,116
0500000US01121,1121,"Talladega County, Alabama",37808,14,18212,14,3901,363,6642,495,5016,459,2653,349,19596,119,4163,415,7160,524,5559,491,2714,299
0500000US01123,1123,"Tallapoosa County, Alabama",21211,119,10154,119,2217,282,3397,334,2520,279,2020,288,11057,119,2010,281,3762,345,3291,314,1994,215
0500000US01125,1125,"Tuscaloosa County, Alabama",75172,138,36496,71,4581,410,11746,564,9733,550,10436,505,38676,68,4148,329,11622,566,11160,606,11746,507
0500000US01127,1127,"Walker County, Alabama",43118,119,20445,119,5137,407,7938,454,5213,374,2157,288,22673,119,5380,363,7469,389,7774,397,2050,268
0500000US01129,1129,"Washington County, Alabama",7855,97,3792,97,752,163,1873,200,840,192,327,115,4063,119,846,181,1720,227,1046,190,451,126
0500000US01131,1131,"Wilcox County, Alabama",2398,45,1134,34,235,123,285,76,265,79,349,112,1264,39,218,110,402,106,404,105,240,56
0500000US01133,1133,"Winston County, Alabama",16724,119,8066,119,2563,318,2593,320,2000,286,910,277,8658,119,2582,323,2954,340,2133,299,989,224
0500000US02013,2013,"Aleutians East Borough, Alaska",174,76,138,72,74,69,8,9,31,21,25,19,36,22,2,3,8,7,10,9,16,14
0500000US02016,2016,"Aleutians West Census Area, Alaska",1242,439,921,354,18,13,403,262,396,149,104,48,321,126,20,25,54,33,111,54,136,116
0500000US02020,2020,"Anchorage Municipality, Alaska",124179,120,63891,78,2671,420,13731,731,23094,874,24395,893,60288,67,2479,367,12375,742,22266,836,23168,865
0500000US02050,2050,"Bethel Census Area, Alaska",1469,69,845,39,39,37,209,74,240,74,357,89,624,54,4,7,46,36,153,74,421,78
0500000US02060,2060,"Bristol Bay Borough, Alaska",373,78,192,43,6,8,50,27,104,28,32,22,181,46,3,5,44,24,93,34,41,22
0500000US02068,2068,"Denali Borough, Alaska",769,247,474,143,23,21,142,56,220,83,89,50,295,121,8,11,67,39,98,54,122,71
0500000US02070,2070,"Dillingham Census Area, Alaska",736,20,406,15,5,7,75,26,148,37,178,37,330,12,0,109,11,11,100,30,219,32
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",44693,108,23923,59,1379,270,6587,513,9298,523,6659,491,20770,53,1008,219,4923,463,8341,434,6498,420
0500000US02100,2100,"Haines Borough, Alaska",988,338,545,195,29,27,174,103,144,69,198,82,443,157,26,40,131,77,98,58,188,104
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",798,105,399,90,7,10,118,49,110,41,164,52,399,37,20,20,117,42,86,29,176,41
0500000US02110,2110,"Juneau City and Borough, Alaska",15326,28,7876,14,177,74,1890,263,2771,277,3038,254,7450,17,207,93,1302,205,2738,274,3203,256
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",31297,23,16503,18,1328,181,5830,303,5753,347,3592,307,14794,9,763,144,4064,272,6060,373,3907,303
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",6452,49,3366,13,209,91,1101,172,1109,191,947,154,3086,43,184,68,844,147,1225,150,833,145
0500000US02150,2150,"Kodiak Island Borough, Alaska",4653,6,2501,6,436,460,627,170,965,307,473,318,2152,109,41,39,414,125,944,138,753,149
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",182,51,91,29,4,7,23,17,39,19,25,13,91,30,0,109,7,7,39,25,45,23
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",45562,34,23774,7,2034,264,7913,410,9421,397,4406,323,21788,32,1418,202,5861,363,8938,417,5571,402
0500000US02180,2180,"Nome Census Area, Alaska",1183,95,640,97,24,29,137,68,211,73,268,90,543,11,0,109,41,26,128,59,374,67
0500000US02185,2185,"North Slope Borough, Alaska",622,154,331,84,8,8,83,49,96,62,144,56,291,112,0,109,4,5,28,28,259,108
0500000US02188,2188,"Northwest Arctic Borough, Alaska",724,22,424,16,5,8,99,46,148,77,172,51,300,13,0,109,20,16,99,36,181,40
0500000US02195,2195,"Petersburg Census Area, Alaska",2119,149,1145,105,26,31,432,128,401,129,286,123,974,79,12,19,306,94,246,89,410,93
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",2030,48,1177,33,95,39,425,69,376,59,281,66,853,25,56,33,265,52,309,49,223,50
0500000US02220,2220,"Sitka City and Borough, Alaska",4120,84,2071,84,60,45,577,138,680,140,754,151,2049,109,154,98,227,94,952,155,716,126
0500000US02230,2230,"Skagway Municipality, Alaska",612,131,321,101,10,13,59,38,124,81,128,48,291,46,19,15,68,34,104,38,100,43
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",3554,70,2061,109,139,62,649,115,793,128,480,125,1493,70,110,58,484,93,561,113,338,108
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",4890,91,2725,29,178,78,508,136,1318,164,721,137,2165,81,54,48,517,138,932,119,662,124
0500000US02270,2270,"Wade Hampton Census Area, Alaska",184,9,94,12,0,109,7,9,10,9,77,18,90,16,0,109,7,10,14,14,69,17
0500000US02275,2275,"Wrangell City and Borough, Alaska",1138,157,598,100,48,33,221,77,202,76,127,54,540,88,43,34,194,76,203,84,100,50
0500000US02282,2282,"Yakutat City and Borough, Alaska",156,47,96,30,13,14,28,16,34,17,21,16,60,28,7,11,11,10,25,18,17,15
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",955,18,552,11,53,24,170,31,193,33,136,36,403,12,13,8,108,29,145,29,137,27
0500000US04001,4001,"Apache County, Arizona",10143,17,5172,12,436,209,1509,243,2056,247,1171,247,4971,6,512,167,1299,216,2112,280,1048,190
0500000US04003,4003,"Cochise County, Arizona",57212,85,28913,44,2229,286,7164,498,11488,555,8032,455,28299,53,2516,371,7214,510,12060,580,6509,395
0500000US04005,4005,"Coconino County, Arizona",47440,144,24006,73,1182,249,5267,548,7918,537,9639,585,23434,74,1042,230,4382,459,8072,566,9938,515
0500000US04007,4007,"Gila County, Arizona",27952,37,13675,21,1860,321,4162,443,4684,488,2969,460,14277,38,1476,293,4812,492,5893,422,2096,333
0500000US04009,4009,"Graham County, Arizona",12276,132,6434,132,653,152,2088,231,2345,233,1348,204,5842,132,663,162,1605,227,2620,269,954,192
0500000US04011,4011,"Greenlee County, Arizona",2862,74,1564,62,95,58,518,88,709,125,242,84,1298,49,73,32,327,76,653,103,245,77
0500000US04012,4012,"La Paz County, Arizona",11569,175,6026,99,871,203,2210,308,2249,362,696,197,5543,110,982,208,2086,266,1981,289,494,189
0500000US04013,4013,"Maricopa County, Arizona",1607682,454,776268,245,49145,1615,169712,3019,268687,3077,288724,2988,831414,300,51354,1606,202554,3016,312471,3279,265035,3370
0500000US04015,4015,"Mohave County, Arizona",121193,50,60092,46,9193,593,20228,914,22470,899,8201,652,61101,20,8282,666,22657,876,23141,845,7021,590
0500000US04017,4017,"Navajo County, Arizona",32717,11,16326,132,1305,264,4669,454,6543,466,3809,389,16391,11,1453,227,4442,501,7211,545,3285,413
0500000US04019,4019,"Pima County, Arizona",408109,268,196978,190,12210,691,42649,1276,66072,1346,76047,1439,211131,143,12772,754,46842,1124,77564,1595,73953,1390
0500000US04021,4021,"Pinal County, Arizona",142348,258,72317,225,6824,521,19477,865,29659,870,16357,804,70031,114,5450,542,21477,896,28381,1062,14723,801
0500000US04023,4023,"Santa Cruz County, Arizona",6679,222,3341,157,97,59,756,228,951,229,1537,234,3338,136,199,118,782,432,1085,231,1272,282
0500000US04025,4025,"Yavapai County, Arizona",133683,128,63787,84,5166,626,16228,793,25261,932,17132,812,69896,79,5498,694,19454,859,28492,789,16452,740
0500000US04027,4027,"Yuma County, Arizona",54582,75,27417,40,3393,359,8320,498,9973,521,5731,507,27165,38,2900,350,9206,518,10082,512,4977,341
0500000US05001,5001,"Arkansas County, Arkansas",10065,119,4785,119,751,170,2015,209,1181,157,838,138,5280,119,921,174,1814,200,1648,200,897,145
0500000US05003,5003,"Ashley County, Arkansas",10614,119,5089,119,866,182,2282,266,1122,172,819,154,5525,119,823,165,2515,260,1243,204,944,151
0500000US05005,5005,"Baxter County, Arkansas",30370,40,14372,30,2267,225,5199,365,4408,379,2498,272,15998,15,2530,256,6314,371,5177,353,1977,332
0500000US05007,5007,"Benton County, Arkansas",110696,277,53046,251,5983,480,16382,744,14977,659,15704,710,57650,91,5724,597,20029,808,17417,737,14480,718
0500000US05009,5009,"Boone County, Arkansas",24240,44,11540,19,2139,270,4535,309,3201,372,1665,253,12700,29,1864,243,5407,375,3647,304,1782,245
0500000US05011,5011,"Bradley County, Arkansas",5129,118,2454,118,701,480,948,205,415,144,390,166,2675,119,512,219,1144,162,505,131,514,142
0500000US05013,5013,"Calhoun County, Arkansas",2829,69,1395,39,303,102,722,124,280,99,90,45,1434,47,211,56,541,102,566,110,116,53
