GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,Estimate; Male: - Less than high school diploma
HD02_VD03,Margin of Error; Male: - Less than high school diploma
HD01_VD04,Estimate; Male: - High school graduate (includes equivalency)
HD02_VD04,Margin of Error; Male: - High school graduate (includes equivalency)
HD01_VD05,Estimate; Male: - Some college or associate's degree
HD02_VD05,Margin of Error; Male: - Some college or associate's degree
HD01_VD06,Estimate; Male: - Bachelor's degree or higher
HD02_VD06,Margin of Error; Male: - Bachelor's degree or higher
HD01_VD07,Estimate; Female:
HD02_VD07,Margin of Error; Female:
HD01_VD08,Estimate; Female: - Less than high school diploma
HD02_VD08,Margin of Error; Female: - Less than high school diploma
HD01_VD09,Estimate; Female: - High school graduate (includes equivalency)
HD02_VD09,Margin of Error; Female: - High school graduate (includes equivalency)
HD01_VD10,Estimate; Female: - Some college or associate's degree
HD02_VD10,Margin of Error; Female: - Some college or associate's degree
HD01_VD11,Estimate; Female: - Bachelor's degree or higher
HD02_VD11,Margin of Error; Female: - Bachelor's degree or higher
