GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
0500000US01001,1001,"Autauga County, Alabama",28785,196,13923,113,1554,225,4151,411,4405,380,3813,351,14862,115,1462,261,5112,353,4805,430,3483,367
0500000US01003,1003,"Baldwin County, Alabama",121437,501,58736,400,6183,740,17061,891,17684,975,17808,956,62701,242,4985,571,17205,959,21043,1005,19468,902
0500000US01005,1005,"Barbour County, Alabama",9721,100,5220,57,1173,174,1595,188,1581,145,871,146,4501,51,706,125,1411,167,1433,149,951,126
0500000US01007,1007,"Bibb County, Alabama",12111,102,6151,88,1014,218,2820,269,1771,280,546,113,5960,67,938,243,2531,241,1644,296,847,251
0500000US01009,1009,"Blount County, Alabama",37655,196,18233,123,4165,445,6482,475,5433,423,2153,348,19422,103,3820,479,6327,411,6546,488,2729,355
0500000US01011,1011,"Bullock County, Alabama",2364,496,1504,385,336,180,451,136,380,173,337,162,860,150,213,132,208,61,181,68,258,103
0500000US01013,1013,"Butler County, Alabama",8138,53,3767,39,696,121,1478,168,938,144,655,128,4371,47,680,105,1454,156,1360,140,877,135
0500000US01015,1015,"Calhoun County, Alabama",61892,252,29503,135,5298,400,9117,613,9664,588,5424,445,32389,146,5920,505,10389,590,10216,598,5864,536
0500000US01017,1017,"Chambers County, Alabama",14500,43,6855,24,1358,219,2405,253,1961,272,1131,175,7645,37,1035,168,2816,237,2749,227,1045,157
0500000US01019,1019,"Cherokee County, Alabama",17544,103,8601,106,1775,263,3457,337,2276,277,1093,209,8943,43,1913,236,2887,289,2782,292,1361,199
0500000US01021,1021,"Chilton County, Alabama",25488,207,12169,156,2938,328,4334,396,3181,356,1716,254,13319,115,2315,248,5577,371,3367,354,2060,322
0500000US01023,1023,"Choctaw County, Alabama",5497,18,2616,18,545,103,1126,121,668,114,277,83,2881,18,529,123,1038,133,972,141,342,96
0500000US01025,1025,"Clarke County, Alabama",9749,39,4671,17,644,158,2031,234,1210,171,786,123,5078,30,880,163,1875,221,1306,152,1017,192
0500000US01027,1027,"Clay County, Alabama",8010,96,3838,53,1014,182,1481,178,1010,175,333,95,4172,46,851,152,1468,181,1376,187,477,137
0500000US01029,1029,"Cleburne County, Alabama",9835,77,4796,56,1284,196,1961,192,1084,162,467,111,5039,42,1137,197,1856,219,1343,190,703,143
0500000US01031,1031,"Coffee County, Alabama",27185,168,13375,127,2013,245,3654,295,4139,326,3569,338,13810,60,1847,169,3888,300,4593,307,3482,318
0500000US01033,1033,"Colbert County, Alabama",31152,146,14716,99,2469,299,5169,336,4273,337,2805,348,16436,73,2414,227,5481,356,5385,414,3156,338
0500000US01035,1035,"Conecuh County, Alabama",5053,47,2503,35,636,136,963,147,590,138,314,96,2550,24,402,87,1093,134,819,145,236,90
0500000US01037,1037,"Coosa County, Alabama",5506,56,2746,62,694,143,1032,147,846,131,174,68,2760,22,607,166,997,178,810,170,346,89
0500000US01039,1039,"Covington County, Alabama",22995,62,10886,55,2172,214,4116,286,3023,235,1575,171,12109,40,2325,253,3577,272,4276,259,1931,218
0500000US01041,1041,"Crenshaw County, Alabama",7027,46,3350,27,695,112,1399,133,901,105,355,91,3677,23,726,126,1293,142,978,124,680,105
0500000US01043,1043,"Cullman County, Alabama",53794,199,26131,150,4900,442,9141,572,8173,529,3917,405,27663,97,4687,456,9644,532,9365,632,3967,368
0500000US01045,1045,"Dale County, Alabama",25845,215,12806,182,1515,212,4084,339,4821,348,2386,268,13039,110,1758,250,4186,283,4889,280,2206,217
0500000US01047,1047,"Dallas County, Alabama",9125,33,4339,25,592,180,1552,196,1362,180,833,157,4786,13,647,181,1778,183,1261,182,1100,178
0500000US01049,1049,"DeKalb County, Alabama",42576,384,20530,232,5461,573,7739,529,5191,401,2139,292,22046,189,4973,457,8103,525,6326,428,2644,263
0500000US01051,1051,"Elmore County, Alabama",42629,194,20126,111,2755,291,7032,470,5669,408,4670,461,22503,120,2162,351,7528,496,7513,473,5300,469
0500000US01053,1053,"Escambia County, Alabama",16824,97,8443,95,1721,232,3740,287,2008,287,974,175,8381,27,1273,236,3275,356,2486,304,1347,246
0500000US01055,1055,"Etowah County, Alabama",59714,248,28351,170,5018,472,9621,553,9037,514,4675,396,31363,117,5109,433,9083,537,11754,566,5417,436
0500000US01057,1057,"Fayette County, Alabama",10227,13,4901,13,1126,155,1982,183,1122,163,671,136,5326,18,1183,147,1957,184,1399,189,787,141
0500000US01059,1059,"Franklin County, Alabama",18780,458,8932,273,2108,297,3542,276,2264,269,1018,197,9848,218,2105,285,3647,333,2849,333,1247,196
0500000US01061,1061,"Geneva County, Alabama",16547,109,7931,90,1597,213,2860,233,2472,262,1002,204,8616,71,1646,194,3241,259,2580,198,1149,189
0500000US01063,1063,"Greene County, Alabama",1252,40,618,22,85,48,239,70,140,61,154,64,634,32,24,20,314,73,171,44,125,60
0500000US01065,1065,"Hale County, Alabama",4452,14,2169,12,321,75,923,116,569,93,356,83,2283,4,256,82,913,103,686,97,428,98
0500000US01067,1067,"Henry County, Alabama",8877,51,4205,44,750,153,1636,189,1176,187,643,132,4672,61,722,179,1462,160,1425,178,1063,209
