GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
0500000US01001,1001,"Autauga County, Alabama",22790,10954,424,1503,3461,2536,548,1535,947,11836,484,1510,4402,2763,603,1407,667
0500000US01003,1003,"Baldwin County, Alabama",85521,41174,1692,5113,11497,9747,2183,7131,3811,44347,1415,5352,13573,10789,2973,6551,3694
0500000US01005,1005,"Barbour County, Alabama",10635,5421,369,929,1724,1202,338,654,205,5214,347,903,1741,1066,261,484,412
0500000US01007,1007,"Bibb County, Alabama",10709,5347,711,1101,1934,961,248,234,158,5362,597,1068,1995,806,371,281,244
0500000US01009,1009,"Blount County, Alabama",32311,15789,1873,3000,5684,3061,729,949,493,16522,1497,2927,6110,3033,1270,963,722
0500000US01011,1011,"Bullock County, Alabama",2399,1424,174,268,482,235,80,120,65,975,124,186,302,190,14,74,85
0500000US01013,1013,"Butler County, Alabama",8836,4137,474,630,1495,750,185,432,171,4699,467,688,1685,1064,227,408,160
0500000US01015,1015,"Calhoun County, Alabama",60726,28716,2291,4537,8751,6490,1607,3015,2025,32010,2606,5802,10686,6544,1476,2784,2112
0500000US01017,1017,"Chambers County, Alabama",15978,7442,609,1523,2437,1463,364,663,383,8536,813,1824,2698,1830,464,568,339
0500000US01019,1019,"Cherokee County, Alabama",15831,7651,1062,1741,2639,1158,271,465,315,8180,1092,1854,2860,1189,411,391,383
0500000US01021,1021,"Chilton County, Alabama",22742,10954,1292,2318,3982,1819,415,649,479,11788,1281,2388,4328,1965,536,782,508
0500000US01023,1023,"Choctaw County, Alabama",6245,2944,399,548,1048,409,160,272,108,3301,400,532,1070,674,188,278,159
0500000US01025,1025,"Clarke County, Alabama",10742,5054,384,762,1736,1052,277,597,246,5688,356,905,2096,1052,366,542,371
0500000US01027,1027,"Clay County, Alabama",8143,3860,440,729,1418,708,236,219,110,4283,492,983,1589,631,207,239,142
0500000US01029,1029,"Cleburne County, Alabama",9018,4394,555,1084,1606,605,168,241,135,4624,585,1085,1676,671,125,208,274
0500000US01031,1031,"Coffee County, Alabama",23246,11175,974,1546,2666,2346,762,1907,974,12071,1198,1790,3377,2621,930,1308,847
