GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17
Id,Id2,Geography,Total:,Male:,Male: - Less than 9th grade,"Male: - 9th to 12th grade, no diploma",Male: - High school graduate (includes equivalency),"Male: - Some college, no degree",Male: - Associate degree,Male: - Bachelor's degree,Male: - Graduate or professional degree,Female:,Female: - Less than 9th grade,"Female: - 9th to 12th grade, no diploma",Female: - High school graduate (includes equivalency),"Female: - Some college, no degree",Female: - Associate degree,Female: - Bachelor's degree,Female: - Graduate or professional degree
0500000US01001,01001,"Autauga County, Alabama",4205,1790,235,561,597,189,57,119,32,2415,353,599,777,379,138,109,60
0500000US01003,01003,"Baldwin County, Alabama",8177,3664,423,1082,1239,596,141,123,60,4513,406,1176,1532,675,292,231,201
0500000US01005,01005,"Barbour County, Alabama",7862,3833,720,1250,1268,387,128,71,9,4029,932,1049,1278,432,123,146,69
0500000US01007,01007,"Bibb County, Alabama",2669,1529,259,581,531,130,18,8,2,1140,169,413,346,149,40,16,7
0500000US01009,01009,"Blount County, Alabama",321,152,29,35,70,16,0,2,0,169,0,53,83,16,11,0,6
0500000US01011,01011,"Bullock County, Alabama",5002,2462,380,822,879,286,22,41,32,2540,451,536,956,346,106,71,74
0500000US01013,01013,"Butler County, Alabama",4865,2027,407,547,712,222,84,48,7,2838,393,821,845,484,115,109,71
0500000US01015,01015,"Calhoun County, Alabama",11622,5072,414,1130,1882,925,272,274,175,6550,645,1388,2141,1441,349,360,226
0500000US01017,01017,"Chambers County, Alabama",8368,3602,683,1044,1258,390,103,114,10,4766,946,1283,1446,676,178,188,49
0500000US01019,01019,"Cherokee County, Alabama",819,364,44,70,185,50,2,13,0,455,88,109,144,52,16,40,6
0500000US01021,01021,"Chilton County, Alabama",2500,1200,241,330,396,161,18,44,10,1300,181,305,453,211,68,35,47
0500000US01023,01023,"Choctaw County, Alabama",4223,1847,396,470,743,145,47,30,16,2376,438,481,793,454,71,97,42
0500000US01025,01025,"Clarke County, Alabama",6824,2954,430,785,1260,335,66,59,19,3870,547,947,1538,428,135,133,142
0500000US01027,01027,"Clay County, Alabama",1467,648,121,155,281,64,11,5,11,819,131,215,359,76,15,12,11
0500000US01029,01029,"Cleburne County, Alabama",332,154,26,28,49,23,14,10,4,178,22,67,35,42,12,0,0
0500000US01031,01031,"Coffee County, Alabama",4661,2089,288,599,605,339,73,121,64,2572,417,715,628,470,130,118,94
0500000US01033,01033,"Colbert County, Alabama",5591,2378,211,625,793,499,107,89,54,3213,347,779,990,643,171,151,132
0500000US01035,01035,"Conecuh County, Alabama",3569,1447,252,355,524,219,12,46,39,2122,222,551,786,306,70,99,88
0500000US01037,01037,"Coosa County, Alabama",2708,1350,170,442,515,131,50,25,17,1358,191,397,480,192,55,38,5
0500000US01039,01039,"Covington County, Alabama",2684,1159,198,251,499,119,37,38,17,1525,290,309,412,311,103,88,12
0500000US01041,01041,"Crenshaw County, Alabama",2168,881,225,251,271,92,20,4,18,1287,325,303,366,154,45,42,52
0500000US01043,01043,"Cullman County, Alabama",490,214,24,51,71,34,8,26,0,276,39,54,110,43,14,11,5
0500000US01045,01045,"Dale County, Alabama",5341,2284,139,417,641,685,189,154,59,3057,348,736,902,633,230,141,67
0500000US01047,01047,"Dallas County, Alabama",16379,6716,970,1559,2456,982,280,255,214,9663,1318,2219,2984,1486,655,617,384
0500000US01049,01049,"DeKalb County, Alabama",641,274,45,81,111,22,10,3,2,367,22,95,165,36,38,2,9
0500000US01051,01051,"Elmore County, Alabama",7905,4201,447,1380,1358,624,186,153,53,3704,417,997,1160,642,178,217,93
0500000US01053,01053,"Escambia County, Alabama",7016,3683,404,1354,1206,450,88,70,111,3333,528,730,954,652,219,146,104
0500000US01055,01055,"Etowah County, Alabama",8482,3524,366,825,1284,616,232,111,90,4958,561,1327,1356,1018,270,237,189
0500000US01057,01057,"Fayette County, Alabama",1395,600,50,141,258,102,14,29,6,795,105,100,334,137,33,75,11
0500000US01059,01059,"Franklin County, Alabama",842,379,71,51,147,58,0,47,5,463,77,89,137,109,25,20,6
0500000US01061,01061,"Geneva County, Alabama",1690,705,147,190,222,132,9,5,0,985,152,331,346,120,17,16,3
0500000US01063,01063,"Greene County, Alabama",4691,1964,436,469,643,200,56,102,58,2727,438,550,929,460,108,176,66
0500000US01065,01065,"Hale County, Alabama",5694,2407,494,626,813,285,92,50,47,3287,529,734,1247,399,177,114,87
0500000US01067,01067,"Henry County, Alabama",3136,1307,259,330,461,132,44,59,22,1829,310,588,450,272,107,65,37
0500000US01069,01069,"Houston County, Alabama",12232,5253,737,1246,1906,732,237,237,158,6979,947,1616,2163,1303,328,460,162
0500000US01071,01071,"Jackson County, Alabama",1315,630,90,170,220,115,12,21,2,685,151,126,229,105,29,19,26
0500000US01073,01073,"Jefferson County, Alabama",152973,65261,4878,13323,20946,14607,3760,5701,2046,87712,5820,14737,23212,22541,7212,9830,4360
0500000US01075,01075,"Lamar County, Alabama",1103,481,85,85,199,77,22,9,4,622,78,140,244,81,34,26,19
0500000US01077,01077,"Lauderdale County, Alabama",5117,2156,172,524,857,370,49,66,118,2961,262,700,924,628,145,181,121
0500000US01079,01079,"Lawrence County, Alabama",2743,1177,176,255,499,174,28,13,32,1566,143,453,583,246,44,56,41
0500000US01081,01081,"Lee County, Alabama",14366,6233,631,1218,2113,1112,397,388,374,8133,1062,1668,2438,1419,553,557,436
0500000US01083,01083,"Limestone County, Alabama",5397,2929,255,834,958,496,167,108,111,2468,257,486,783,538,150,150,104
0500000US01085,01085,"Lowndes County, Alabama",5533,2386,549,538,944,213,56,73,13,3147,498,812,948,457,180,174,78
0500000US01087,01087,"Macon County, Alabama",11217,4765,672,1002,1150,918,262,447,314,6452,756,1172,1466,1324,402,678,654
0500000US01089,01089,"Madison County, Alabama",33869,15119,1059,2416,3453,3546,1226,2123,1296,18750,1052,2896,3959,4877,1281,3031,1654
0500000US01091,01091,"Marengo County, Alabama",6629,2692,452,705,1092,283,60,74,26,3937,571,980,1462,515,187,88,134
0500000US01093,01093,"Marion County, Alabama",765,504,56,146,190,82,9,21,0,261,48,63,70,40,34,6,0
0500000US01095,01095,"Marshall County, Alabama",588,256,34,14,160,37,0,11,0,332,31,71,122,60,27,21,0
0500000US01097,01097,"Mobile County, Alabama",73710,31471,3270,7186,10803,6013,1526,1865,808,42239,3466,8487,12301,9683,3057,3364,1881
0500000US01099,01099,"Monroe County, Alabama",5493,2404,391,710,889,239,87,47,41,3089,481,871,977,426,146,98,90
0500000US01101,01101,"Montgomery County, Alabama",59637,26289,2557,5647,7481,5648,1108,2471,1377,33348,2946,6881,7714,6842,1984,4388,2593
0500000US01103,01103,"Morgan County, Alabama",6917,3062,257,851,1089,519,156,116,74,3855,257,1082,1208,809,176,178,145
0500000US01105,01105,"Perry County, Alabama",4338,1804,409,426,588,288,43,17,33,2534,345,724,723,431,82,113,116
0500000US01107,01107,"Pickens County, Alabama",5006,2074,390,438,817,274,46,67,42,2932,417,771,989,471,108,110,66
0500000US01109,01109,"Pike County, Alabama",5948,2552,460,677,771,451,51,76,66,3396,590,917,1107,471,58,158,95
0500000US01111,01111,"Randolph County, Alabama",2674,1180,227,328,416,119,15,57,18,1494,339,427,441,142,53,65,27
0500000US01113,01113,"Russell County, Alabama",11871,5116,924,1271,1648,752,234,169,118,6755,1131,1573,2153,1020,402,311,165
0500000US01115,01115,"St. Clair County, Alabama",3438,1945,304,658,635,269,31,38,10,1493,192,415,407,289,33,121,36
0500000US01117,01117,"Shelby County, Alabama",6391,2826,192,571,790,437,112,526,198,3565,222,655,797,663,363,566,299
0500000US01119,01119,"Sumter County, Alabama",6103,2505,491,632,872,384,16,59,51,3598,612,890,1151,600,82,141,122
0500000US01121,01121,"Talladega County, Alabama",14914,7141,774,2001,2928,923,214,181,120,7773,951,1940,2675,1296,261,429,221
0500000US01123,01123,"Tallapoosa County, Alabama",6298,2644,427,799,948,255,51,139,25,3654,602,1050,1200,467,104,158,73
0500000US01125,01125,"Tuscaloosa County, Alabama",25641,11045,1086,2671,3670,2197,454,690,277,14596,1364,3001,4171,3208,724,1444,684
0500000US01127,01127,"Walker County, Alabama",2612,1222,147,324,411,192,32,71,45,1390,108,301,519,256,103,77,26
0500000US01129,01129,"Washington County, Alabama",2805,1252,199,249,574,143,17,31,39,1553,260,292,610,230,46,58,57
0500000US01131,01131,"Wilcox County, Alabama",5221,2244,396,817,639,242,51,63,36,2977,528,870,781,444,132,168,54
0500000US01133,01133,"Winston County, Alabama",30,7,2,0,0,5,0,0,0,23,8,9,0,6,0,0,0
0500000US02013,02013,"Aleutians East Borough, Alaska",34,28,0,10,8,10,0,0,0,6,0,0,6,0,0,0,0
0500000US02016,02016,"Aleutians West Census Area, Alaska",122,100,0,0,52,47,0,0,1,22,0,0,0,22,0,0,0
0500000US02020,02020,"Anchorage Municipality, Alaska",8164,4313,101,375,1216,1597,377,422,225,3851,106,403,921,1484,319,408,210
0500000US02050,02050,"Bethel Census Area, Alaska",54,45,0,4,15,12,10,4,0,9,0,0,0,3,6,0,0
0500000US02060,02060,"Bristol Bay Borough, Alaska",6,4,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0
0500000US02068,02068,"Denali Borough, Alaska",17,15,0,0,4,9,0,0,2,2,0,0,0,2,0,0,0
0500000US02070,02070,"Dillingham Census Area, Alaska",6,5,0,0,3,0,0,2,0,1,0,0,0,1,0,0,0
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",2409,1257,38,86,403,452,120,98,60,1152,22,89,256,485,157,113,30
0500000US02100,02100,"Haines Borough, Alaska",5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
0500000US02110,02110,"Juneau City and Borough, Alaska",174,66,9,0,25,6,6,13,7,108,0,0,38,50,0,16,4
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",112,103,7,19,36,28,7,0,6,9,0,0,2,6,1,0,0
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",42,18,0,0,8,10,0,0,0,24,0,0,0,14,10,0,0
0500000US02150,02150,"Kodiak Island Borough, Alaska",37,25,11,0,4,7,3,0,0,12,0,0,0,6,0,6,0
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",313,226,0,16,66,61,57,19,7,87,0,2,5,28,16,31,5
0500000US02180,02180,"Nome Census Area, Alaska",24,13,0,0,4,4,5,0,0,11,0,0,0,5,0,0,6
0500000US02185,02185,"North Slope Borough, Alaska",43,33,0,5,7,6,4,4,7,10,0,0,0,2,2,3,3
0500000US02188,02188,"Northwest Arctic Borough, Alaska",18,17,0,10,6,0,1,0,0,1,0,0,1,0,0,0,0
0500000US02201,02201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",9,3,0,0,0,0,0,3,0,6,0,0,3,0,3,0,0
0500000US02220,02220,"Sitka City and Borough, Alaska",31,0,0,0,0,0,0,0,0,31,0,0,0,0,17,14,0
0500000US02232,02232,"Skagway-Hoonah-Angoon Census Area, Alaska",5,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",67,36,0,3,2,9,20,2,0,31,5,0,4,11,5,3,3
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",24,13,0,0,2,2,6,0,3,11,0,0,2,7,0,0,2
0500000US02270,02270,"Wade Hampton Census Area, Alaska",7,7,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0
0500000US02280,02280,"Wrangell-Petersburg Census Area, Alaska",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US02282,02282,"Yakutat City and Borough, Alaska",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",5,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0500000US04001,04001,"Apache County, Arizona",96,73,0,19,33,19,0,0,2,23,3,6,4,4,0,6,0
0500000US04003,04003,"Cochise County, Arizona",2849,1691,28,102,336,636,277,207,105,1158,21,56,204,499,151,175,52
0500000US04005,04005,"Coconino County, Arizona",781,402,23,28,146,129,10,37,29,379,58,63,60,81,13,50,54
0500000US04007,04007,"Gila County, Arizona",97,66,7,16,17,8,18,0,0,31,2,9,0,11,0,9,0
0500000US04009,04009,"Graham County, Arizona",526,436,14,43,171,144,53,0,11,90,22,11,25,16,6,10,0
0500000US04011,04011,"Greenlee County, Arizona",29,15,3,4,4,2,2,0,0,14,0,0,12,0,0,2,0
0500000US04012,04012,"La Paz County, Arizona",89,57,0,7,16,19,0,12,3,32,0,5,8,16,3,0,0
0500000US04013,04013,"Maricopa County, Arizona",64102,32859,1511,4117,7797,9545,3023,4582,2284,31243,1506,4223,7067,9777,2760,3866,2044
0500000US04015,04015,"Mohave County, Arizona",484,314,6,78,75,119,27,3,6,170,0,37,82,28,2,0,21
0500000US04017,04017,"Navajo County, Arizona",614,438,46,114,137,53,61,18,9,176,17,29,71,39,8,12,0
0500000US04019,04019,"Pima County, Arizona",14598,7737,308,871,2066,2512,675,911,394,6861,454,1016,1496,2212,542,680,461
0500000US04021,04021,"Pinal County, Arizona",2933,1936,189,424,666,473,71,61,52,997,159,177,330,202,25,64,40
0500000US04023,04023,"Santa Cruz County, Arizona",89,45,5,10,6,14,0,10,0,44,4,0,23,15,2,0,0
0500000US04025,04025,"Yavapai County, Arizona",253,117,18,0,34,21,6,16,22,136,9,27,8,28,2,52,10
0500000US04027,04027,"Yuma County, Arizona",1741,1142,91,134,329,411,51,92,34,599,102,86,99,149,70,67,26
0500000US05001,05001,"Arkansas County, Arkansas",2690,1200,156,295,570,115,18,44,2,1490,158,359,612,241,38,65,17
0500000US05003,05003,"Ashley County, Arkansas",3701,1640,327,364,705,159,20,44,21,2061,288,573,760,291,43,84,22
0500000US05005,05005,"Baxter County, Arkansas",14,8,0,8,0,0,0,0,0,6,0,0,6,0,0,0,0
0500000US05007,05007,"Benton County, Arkansas",437,215,15,33,48,64,19,31,5,222,0,33,51,47,8,77,6
0500000US05009,05009,"Boone County, Arkansas",6,4,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0
0500000US05011,05011,"Bradley County, Arkansas",2182,993,194,211,443,92,4,35,14,1189,198,286,487,123,13,61,21
0500000US05013,05013,"Calhoun County, Arkansas",849,351,85,112,121,26,0,4,3,498,80,149,194,44,12,12,7
0500000US05015,05015,"Carroll County, Arkansas",4,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
0500000US05017,05017,"Chicot County, Arkansas",4364,1874,307,518,680,224,22,91,32,2490,496,589,809,353,53,146,44
0500000US05019,05019,"Clark County, Arkansas",2944,1269,143,230,506,247,39,95,9,1675,189,357,575,359,44,103,48
0500000US05021,05021,"Clay County, Arkansas",9,5,0,0,5,0,0,0,0,4,0,0,4,0,0,0,0
0500000US05023,05023,"Cleburne County, Arkansas",15,7,0,7,0,0,0,0,0,8,0,5,0,0,0,3,0
0500000US05025,05025,"Cleveland County, Arkansas",623,272,76,61,96,31,4,2,2,351,69,108,113,42,6,10,3
0500000US05027,05027,"Columbia County, Arkansas",5262,2217,406,463,926,280,28,91,23,3045,414,805,1128,416,55,116,111
0500000US05029,05029,"Conway County, Arkansas",1577,683,67,159,330,78,26,12,11,894,91,170,310,181,47,59,36
0500000US05031,05031,"Craighead County, Arkansas",2682,1125,67,153,380,295,62,138,30,1557,103,414,422,356,43,159,60
0500000US05033,05033,"Crawford County, Arkansas",241,155,56,39,34,2,12,12,0,86,0,14,29,24,10,9,0
0500000US05035,05035,"Crittenden County, Arkansas",11981,5035,970,1314,1770,633,119,149,80,6946,1277,1708,2181,1152,212,264,152
0500000US05037,05037,"Cross County, Arkansas",2381,999,200,232,414,106,4,43,0,1382,188,365,471,204,44,45,65
0500000US05039,05039,"Dallas County, Arkansas",2251,1050,180,305,493,44,23,5,0,1201,183,295,519,152,22,28,2
0500000US05041,05041,"Desha County, Arkansas",3851,1577,305,387,565,204,22,83,11,2274,501,542,756,271,32,147,25
0500000US05043,05043,"Drew County, Arkansas",2776,1296,217,298,529,126,30,64,32,1480,183,251,641,236,36,103,30
0500000US05045,05045,"Faulkner County, Arkansas",3436,1573,43,310,447,535,52,125,61,1863,130,373,541,422,70,252,75
0500000US05047,05047,"Franklin County, Arkansas",55,55,0,31,24,0,0,0,0,0,0,0,0,0,0,0,0
0500000US05049,05049,"Fulton County, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US05051,05051,"Garland County, Arkansas",4002,1869,173,522,700,266,26,114,68,2133,192,640,641,437,75,93,55
0500000US05053,05053,"Grant County, Arkansas",217,87,6,21,19,32,0,9,0,130,12,28,32,35,0,23,0
0500000US05055,05055,"Greene County, Arkansas",87,30,9,0,21,0,0,0,0,57,13,13,24,0,7,0,0
0500000US05057,05057,"Hempstead County, Arkansas",3973,1783,176,428,814,224,13,72,56,2190,292,590,793,288,68,98,61
0500000US05059,05059,"Hot Spring County, Arkansas",1740,785,142,94,304,152,37,40,16,955,114,224,351,160,37,36,33
0500000US05061,05061,"Howard County, Arkansas",1785,823,70,117,403,176,11,39,7,962,69,180,450,129,58,68,8
