GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
0500000US01001,1001,"Autauga County, Alabama",10315,254,4840,202,1443,131,1443,131,0,27,0,27,0,27,3397,88,3374,85,23,25,9,15,14,21,5475,117,1389,103,1389,103,0,27,0,27,0,27,4086,51,4062,42,24,29,5,8,19,28
0500000US01003,1003,"Baldwin County, Alabama",18735,577,9234,413,2854,394,2854,394,0,27,0,27,0,27,6380,84,6225,134,155,133,0,27,155,133,9501,444,2302,379,2302,379,0,27,0,27,0,27,7199,196,7071,215,128,89,64,70,64,62
0500000US01005,1005,"Barbour County, Alabama",12595,205,6649,128,1448,95,1448,95,0,21,0,21,0,21,5201,75,5196,75,5,10,0,21,5,10,5946,105,1490,48,1490,48,0,21,0,21,0,21,4456,75,4456,75,0,21,0,21,0,21
0500000US01007,1007,"Bibb County, Alabama",4846,232,2997,196,571,122,571,122,0,21,0,21,0,21,2426,146,2426,146,0,21,0,21,0,21,1849,146,401,126,401,126,0,21,0,21,0,21,1448,61,1448,61,0,21,0,21,0,21
0500000US01009,1009,"Blount County, Alabama",884,117,535,103,178,86,173,85,5,8,0,27,5,8,357,43,352,45,5,10,5,10,0,27,349,75,59,69,59,69,0,27,0,27,0,27,290,57,287,57,3,6,0,27,3,6
0500000US01011,1011,"Bullock County, Alabama",7550,504,3678,387,877,36,877,36,0,18,0,18,0,18,2801,380,2801,380,0,18,0,18,0,18,3872,151,989,70,989,70,0,18,0,18,0,18,2883,132,2824,149,59,92,0,18,59,92
0500000US01013,1013,"Butler County, Alabama",8961,101,4013,82,1287,28,1287,28,0,21,0,21,0,21,2726,82,2726,82,0,21,0,21,0,21,4948,39,1163,33,1163,33,0,21,0,21,0,21,3785,22,3785,22,0,21,0,21,0,21
0500000US01015,1015,"Calhoun County, Alabama",23895,437,11045,239,3033,171,3033,171,0,27,0,27,0,27,8012,132,7884,174,128,96,76,68,52,64,12850,258,2987,175,2987,175,0,27,0,27,0,27,9863,166,9767,188,96,67,81,62,15,19
0500000US01017,1017,"Chambers County, Alabama",13738,169,6474,82,1731,73,1731,73,0,24,0,24,0,24,4743,28,4730,33,13,19,0,24,13,19,7264,122,1629,105,1629,105,0,24,0,24,0,24,5635,62,5635,62,0,24,0,24,0,24
0500000US01019,1019,"Cherokee County, Alabama",1281,131,684,92,190,71,190,71,0,21,0,21,0,21,494,55,494,55,0,21,0,21,0,21,597,100,113,63,113,63,0,21,0,21,0,21,484,87,484,87,0,21,0,21,0,21
