GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - Native,Margin of Error; Male: - Under 18 years: - Native,Estimate; Male: - Under 18 years: - Foreign born:,Margin of Error; Male: - Under 18 years: - Foreign born:,Estimate; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Male: - 18 years and over:,Margin of Error; Male: - 18 years and over:,Estimate; Male: - 18 years and over: - Native,Margin of Error; Male: - 18 years and over: - Native,Estimate; Male: - 18 years and over: - Foreign born:,Margin of Error; Male: - 18 years and over: - Foreign born:,Estimate; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - Native,Margin of Error; Female: - Under 18 years: - Native,Estimate; Female: - Under 18 years: - Foreign born:,Margin of Error; Female: - Under 18 years: - Foreign born:,Estimate; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Female: - 18 years and over:,Margin of Error; Female: - 18 years and over:,Estimate; Female: - 18 years and over: - Native,Margin of Error; Female: - 18 years and over: - Native,Estimate; Female: - 18 years and over: - Foreign born:,Margin of Error; Female: - 18 years and over: - Foreign born:,Estimate; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen
0500000US01001,01001,"Autauga County, Alabama",41848,100,20528,40,5082,21,5032,65,50,61,28,47,22,37,15446,19,15414,44,32,37,0,27,32,37,21320,68,4969,30,4969,30,0,27,0,27,0,27,16351,51,16169,93,182,79,109,68,73,48
0500000US01003,01003,"Baldwin County, Alabama",162153,168,78918,32,16965,8,16920,49,45,49,45,49,0,27,61953,31,60963,227,990,215,483,176,507,181,83235,144,16384,101,16373,107,11,22,11,22,0,27,66851,48,65904,284,947,271,570,193,377,182
0500000US01005,01005,"Barbour County, Alabama",12454,137,6636,69,1018,48,1007,50,11,19,11,19,0,21,5618,22,5618,22,0,21,0,21,0,21,5818,69,1022,36,1022,36,0,21,0,21,0,21,4796,34,4760,54,36,43,32,42,4,7
0500000US01007,01007,"Bibb County, Alabama",16840,21,8532,130,1824,130,1824,130,0,21,0,21,0,21,6708,21,6668,49,40,49,40,49,0,21,8308,130,1792,130,1788,130,4,6,4,6,0,21,6516,21,6508,12,8,12,0,21,8,12
0500000US01009,01009,"Blount County, Alabama",50700,56,24807,3,5631,27,5631,27,0,27,0,27,0,27,19176,3,19054,68,122,68,59,45,63,51,25893,56,5451,6,5451,6,0,27,0,27,0,27,20442,55,20330,77,112,64,41,36,71,51
0500000US01011,01011,"Bullock County, Alabama",2372,18,1400,116,189,80,189,80,0,18,0,18,0,18,1211,117,1211,117,0,18,0,18,0,18,972,116,128,80,128,80,0,18,0,18,0,18,844,117,818,120,26,37,26,37,0,18
0500000US01013,01013,"Butler County, Alabama",10856,33,5184,16,1106,16,1106,16,0,21,0,21,0,21,4078,21,4073,7,5,7,5,7,0,21,5672,18,1010,18,1010,18,0,21,0,21,0,21,4662,21,4662,21,0,21,0,21,0,21
0500000US01015,01015,"Calhoun County, Alabama",85184,83,41358,20,8852,16,8852,16,0,27,0,27,0,27,32506,13,32371,72,135,70,99,66,36,32,43826,79,8222,21,8222,21,0,27,0,27,0,27,35604,75,35091,196,513,185,154,79,359,171
0500000US01017,01017,"Chambers County, Alabama",19522,24,9450,24,1862,24,1862,24,0,24,0,24,0,24,7588,24,7572,25,16,25,0,24,16,25,10072,24,1789,24,1789,24,0,24,0,24,0,24,8283,24,8220,60,63,60,5,8,58,60
